order_id,order_date,customer_id,product_id,region_id,quantity,revenue_gross,revenue_net,cogs,gross_margin,order_status,discount_amount
ORD-10127,2022-01-08,C00055,P00134,2,5,6651.2,6651.2,5118.05,1533.1499999999996,Completed,0.0
ORD-10128,2022-01-08,C00555,P00126,3,4,31876.56,31876.56,23160.12,8716.440000000002,Completed,0.0
ORD-10129,2022-01-08,C00331,P00111,2,3,4862.7300000000005,4862.7300000000005,3406.8900000000003,1455.84,Completed,0.0
ORD-10130,2022-01-08,C00195,P00045,2,3,2066.4,2066.4,1434.15,632.2499999999995,Completed,0.0
ORD-10131,2022-01-08,C00516,P00079,3,4,591.68,591.68,447.24,144.43999999999994,Completed,0.0
ORD-10132,2022-01-08,C00980,P00119,1,5,89449.79999999999,89449.79999999999,55991.850000000006,33457.94999999998,Returned,0.0
ORD-10133,2022-01-08,C01114,P00028,2,1,7668.88,7668.88,5329.71,2339.17,Completed,0.0
ORD-10134,2022-01-08,C00267,P00026,1,1,2419.5,2298.525,1825.1,473.4250000000002,Completed,120.97499999999991
ORD-10135,2022-01-08,C01073,P00095,1,4,22954.64,21806.908,16834.84,4972.067999999999,Returned,1147.732
ORD-10136,2022-01-08,C00159,P00102,1,4,26593.0,26593.0,18137.8,8455.2,Cancelled,0.0
ORD-10137,2022-01-08,C00361,P00114,1,5,17714.7,17714.7,12113.65,5601.050000000001,Completed,0.0
ORD-10138,2022-01-08,C00453,P00015,4,5,58250.9,46600.72,41416.5,5184.220000000001,Completed,11650.18
ORD-10139,2022-01-08,C00003,P00078,3,2,10135.62,10135.62,6689.72,3445.9000000000005,Completed,0.0
ORD-10140,2022-01-08,C00331,P00108,2,1,5553.42,5553.42,4036.52,1516.9,Completed,0.0
ORD-10141,2022-01-08,C00560,P00070,2,1,20311.36,20311.36,13110.18,7201.18,Completed,0.0
ORD-10142,2022-01-08,C00274,P00076,4,3,52308.06,52308.06,35715.600000000006,16592.459999999992,Completed,0.0
ORD-10143,2022-01-08,C00620,P00118,1,2,13396.84,10717.472000000002,9140.3,1577.1720000000023,Completed,2679.3679999999986
ORD-10144,2022-01-08,C00245,P00098,2,1,3279.48,2623.5840000000003,2712.66,-89.07599999999957,Completed,655.8959999999997
ORD-10145,2022-01-08,C00478,P00008,4,5,10972.55,9875.295000000002,7400.900000000001,2474.3950000000013,Returned,1097.2549999999974
ORD-10146,2022-01-08,C00187,P00065,4,3,14069.04,13365.588,11668.95,1696.637999999999,Completed,703.4520000000011
ORD-10147,2022-01-08,C00137,P00086,3,5,28456.7,28456.7,22615.4,5841.299999999999,Returned,0.0
ORD-10148,2022-01-08,C00944,P00104,2,2,8229.62,8229.62,6394.9,1834.7200000000007,Completed,0.0
ORD-10149,2022-01-08,C01197,P00121,1,5,32090.6,32090.6,21569.25,10521.35,Completed,0.0
ORD-10150,2022-01-08,C00601,P00034,3,3,21494.94,21494.94,16256.43,5238.509999999998,Completed,0.0
ORD-10151,2022-01-09,C00718,P00099,1,1,2274.06,2274.06,1583.89,690.1699999999998,Completed,0.0
ORD-10152,2022-01-09,C01106,P00093,2,4,18421.16,18421.16,12946.0,5475.16,Completed,0.0
ORD-10153,2022-01-09,C00315,P00058,1,2,8113.34,6490.6720000000005,5382.76,1107.9120000000005,Completed,1622.6679999999997
ORD-10154,2022-01-09,C00354,P00122,1,1,22152.0,22152.0,14291.31,7860.69,Completed,0.0
ORD-10155,2022-01-09,C00824,P00068,2,5,65547.29999999999,62269.93499999998,47377.65,14892.284999999982,Completed,3277.3650000000052
ORD-10156,2022-01-09,C00700,P00026,3,3,7258.5,7258.5,5475.299999999999,1783.2000000000007,Completed,0.0
ORD-10157,2022-01-09,C00132,P00040,4,5,10579.85,10579.85,8015.15,2564.699999999999,Completed,0.0
ORD-10158,2022-01-09,C00553,P00116,1,5,17834.4,17834.4,13224.15,4610.250000000002,Completed,0.0
ORD-10159,2022-01-09,C00475,P00046,4,4,20899.4,19854.43,13493.16,6361.27,Completed,1044.9700000000012
ORD-10160,2022-01-09,C00040,P00129,1,3,5948.28,5948.28,4277.28,1671.0,Completed,0.0
ORD-10161,2022-01-09,C00290,P00024,2,2,6295.32,5665.788,4233.2,1432.5879999999995,Completed,629.5320000000002
ORD-10162,2022-01-09,C00254,P00116,2,5,17834.4,17834.4,13224.15,4610.250000000002,Completed,0.0
ORD-10163,2022-01-09,C00680,P00054,3,5,8528.099999999999,8101.694999999998,7051.05,1050.6449999999977,Completed,426.40500000000065
ORD-10164,2022-01-09,C00342,P00061,2,4,4027.36,4027.36,2989.8,1037.56,Completed,0.0
ORD-10165,2022-01-09,C00751,P00038,3,3,20792.37,19752.7515,13399.29,6353.461499999998,Completed,1039.6185000000005
ORD-10166,2022-01-09,C00869,P00058,4,2,8113.34,7302.006,5382.76,1919.246,Completed,811.3339999999998
ORD-10167,2022-01-09,C00504,P00126,3,3,23907.42,19125.936,17370.09,1755.8460000000014,Completed,4781.483999999997
ORD-10168,2022-01-09,C00938,P00016,4,3,8848.619999999999,8848.619999999999,6354.39,2494.2299999999987,Completed,0.0
ORD-10169,2022-01-10,C00785,P00139,2,2,8583.94,8583.94,5577.3,3006.6400000000003,Completed,0.0
ORD-10170,2022-01-10,C00753,P00123,4,5,7696.599999999999,7696.599999999999,6152.0,1544.5999999999997,Completed,0.0
ORD-10171,2022-01-10,C01112,P00036,1,1,890.15,712.12,717.36,-5.240000000000009,Completed,178.02999999999997
ORD-10172,2022-01-10,C00167,P00123,3,1,1539.32,1539.32,1230.4,308.91999999999985,Completed,0.0
ORD-10173,2022-01-10,C00245,P00073,2,5,11343.65,11343.65,7518.200000000001,3825.449999999999,Completed,0.0
ORD-10174,2022-01-10,C00065,P00076,3,5,87180.1,69744.08,59526.0,10218.080000000002,Completed,17436.020000000004
ORD-10175,2022-01-10,C00851,P00100,1,4,33320.52,33320.52,21621.24,11699.279999999995,Completed,0.0
ORD-10176,2022-01-10,C00674,P00078,3,2,10135.62,9628.839,6689.72,2939.119,Completed,506.78100000000086
ORD-10177,2022-01-10,C00889,P00059,4,5,14474.9,13027.41,10104.7,2922.709999999999,Completed,1447.4899999999998
ORD-10178,2022-01-10,C00659,P00027,3,5,30236.550000000003,24189.240000000005,24925.050000000003,-735.8099999999977,Completed,6047.309999999998
ORD-10179,2022-01-10,C00428,P00089,1,4,26037.2,24735.34,17573.84,7161.5,Completed,1301.8600000000006
ORD-10180,2022-01-10,C00519,P00115,2,1,2664.8,2531.56,1946.15,585.4099999999999,Completed,133.24000000000024
ORD-10181,2022-01-10,C00500,P00114,3,3,10628.82,10097.379,7268.19,2829.1889999999985,Completed,531.4409999999989
ORD-10182,2022-01-10,C00331,P00113,2,4,41030.72,41030.72,29692.68,11338.04,Completed,0.0
ORD-10183,2022-01-10,C00846,P00134,2,1,1330.24,1330.24,1023.61,306.63,Completed,0.0
ORD-10184,2022-01-10,C00019,P00033,4,2,8662.84,8662.84,5557.28,3105.5600000000004,Completed,0.0
ORD-10185,2022-01-10,C01108,P00047,2,4,11463.12,9170.496,8908.08,262.4160000000011,Completed,2292.6240000000016
ORD-10186,2022-01-11,C01053,P00054,4,5,8528.099999999999,8528.099999999999,7051.05,1477.0499999999984,Completed,0.0
ORD-10187,2022-01-11,C00202,P00105,3,1,968.37,968.37,697.38,270.99,Completed,0.0
ORD-10188,2022-01-11,C01106,P00069,2,4,17376.32,17376.32,13989.28,3387.039999999999,Completed,0.0
ORD-10189,2022-01-11,C00098,P00071,2,3,32907.69,31262.3055,25413.840000000004,5848.465499999998,Completed,1645.3845000000038
ORD-10190,2022-01-11,C00154,P00124,1,2,1743.7,1656.515,1402.32,254.19499999999996,Completed,87.18499999999995
ORD-10191,2022-01-11,C00148,P00020,4,3,15772.920000000002,15772.920000000002,12943.41,2829.510000000002,Completed,0.0
ORD-10192,2022-01-11,C00802,P00111,1,2,3241.82,3241.82,2271.26,970.56,Completed,0.0
ORD-10193,2022-01-11,C00560,P00027,2,2,12094.62,12094.62,9970.02,2124.6000000000004,Completed,0.0
ORD-10194,2022-01-11,C01089,P00059,4,4,11579.92,11579.92,8083.76,3496.16,Completed,0.0
ORD-10195,2022-01-11,C00560,P00053,2,3,41931.87,39835.2765,33125.13,6710.146500000003,Completed,2096.5935000000027
ORD-10196,2022-01-11,C00284,P00100,2,2,16660.26,16660.26,10810.62,5849.639999999998,Completed,0.0
ORD-10197,2022-01-11,C00083,P00007,1,1,1990.66,1990.66,1298.28,692.3800000000001,Completed,0.0
ORD-10198,2022-01-11,C00262,P00046,1,2,10449.7,9927.215,6746.58,3180.635,Returned,522.4850000000006
ORD-10199,2022-01-11,C00690,P00074,3,2,12305.18,11689.921,7893.26,3796.661,Returned,615.259
ORD-10200,2022-01-11,C00644,P00127,4,1,3342.12,3342.12,2421.57,920.5499999999996,Completed,0.0
ORD-10201,2022-01-11,C00377,P00147,2,4,12709.16,12073.702,10056.6,2017.101999999999,Completed,635.4580000000005
ORD-10202,2022-01-11,C01135,P00039,1,1,1923.55,1731.195,1505.4,225.79499999999985,Completed,192.35500000000002
ORD-10203,2022-01-12,C00296,P00069,2,3,13032.24,13032.24,10491.96,2540.279999999999,Completed,0.0
ORD-10204,2022-01-12,C00338,P00062,3,2,10247.7,10247.7,8037.56,2210.1400000000003,Completed,0.0
ORD-10205,2022-01-12,C00319,P00082,4,3,1132.62,1132.62,717.99,414.6300000000001,Completed,0.0
ORD-10206,2022-01-12,C00603,P00102,4,1,6648.25,6648.25,4534.45,2113.8,Completed,0.0
ORD-10207,2022-01-12,C00295,P00073,4,5,11343.65,11343.65,7518.200000000001,3825.449999999999,Completed,0.0
ORD-10208,2022-01-12,C00853,P00037,4,1,5180.38,5180.38,4191.05,989.33,Completed,0.0
ORD-10209,2022-01-12,C00680,P00123,3,4,6157.28,5541.552,4921.6,619.9519999999993,Completed,615.7280000000001
ORD-10210,2022-01-12,C00063,P00037,3,4,20721.52,20721.52,16764.2,3957.32,Completed,0.0
ORD-10211,2022-01-12,C00088,P00004,1,5,25456.35,25456.35,20421.35,5035.000000000004,Completed,0.0
ORD-10212,2022-01-12,C00121,P00129,1,3,5948.28,5948.28,4277.28,1671.0,Cancelled,0.0
ORD-10213,2022-01-12,C00021,P00133,1,1,1984.5,1984.5,1248.93,735.5699999999999,Completed,0.0
ORD-10214,2022-01-12,C00964,P00047,3,4,11463.12,11463.12,8908.08,2555.040000000001,Completed,0.0
ORD-10215,2022-01-12,C00277,P00027,1,2,12094.62,12094.62,9970.02,2124.6000000000004,Completed,0.0
ORD-10216,2022-01-12,C00544,P00088,3,1,4321.67,3889.503,3271.79,617.7130000000002,Completed,432.1669999999999
ORD-10217,2022-01-12,C00314,P00110,1,2,10443.6,10443.6,8630.28,1813.32,Completed,0.0
ORD-10218,2022-01-12,C00137,P00097,3,1,1053.68,1053.68,693.95,359.73,Cancelled,0.0
ORD-10219,2022-01-12,C00087,P00039,1,1,1923.55,1731.195,1505.4,225.79499999999985,Completed,192.35500000000002
ORD-10220,2022-01-12,C00653,P00057,1,1,2062.47,2062.47,1396.15,666.3199999999997,Completed,0.0
ORD-10221,2022-01-13,C00646,P00104,2,5,20574.050000000003,19545.347500000003,15987.25,3558.0975000000035,Completed,1028.7024999999994
ORD-10222,2022-01-13,C00416,P00033,2,1,4331.42,4331.42,2778.64,1552.7800000000002,Completed,0.0
ORD-10223,2022-01-13,C00674,P00138,3,4,4322.52,4322.52,2768.04,1554.4800000000005,Completed,0.0
ORD-10224,2022-01-13,C00412,P00047,4,3,8597.34,8597.34,6681.06,1916.2800000000009,Completed,0.0
ORD-10225,2022-01-13,C00019,P00137,4,1,4738.43,4738.43,3529.51,1208.92,Completed,0.0
ORD-10226,2022-01-13,C00930,P00098,4,3,9838.44,9838.44,8137.98,1700.460000000001,Completed,0.0
ORD-10227,2022-01-13,C00925,P00048,4,1,5521.84,5521.84,3698.91,1822.9300000000003,Completed,0.0
ORD-10228,2022-01-13,C00305,P00017,4,5,21790.5,21790.5,17535.65,4254.849999999999,Completed,0.0
ORD-10229,2022-01-13,C00529,P00103,1,5,92793.05,88153.39749999999,67565.85,20587.547499999982,Completed,4639.652500000011
ORD-10230,2022-01-13,C00416,P00131,2,5,23504.3,22329.085,19402.05,2927.035,Completed,1175.2150000000001
ORD-10231,2022-01-13,C01117,P00054,4,4,6822.48,6481.355999999999,5640.84,840.5159999999987,Completed,341.1240000000007
ORD-10232,2022-01-13,C00718,P00108,1,3,16660.260000000002,16660.260000000002,12109.56,4550.700000000003,Completed,0.0
ORD-10233,2022-01-13,C00942,P00015,2,3,34950.54,34950.54,24849.9,10100.640000000005,Completed,0.0
ORD-10234,2022-01-13,C00534,P00128,3,2,5210.92,5210.92,4240.38,970.54,Completed,0.0
