date,channel,spend,clicks,conversions,cac,new_customers_acquired
2023-01-12,Instagram,4006.14,70,2,2003.07,2
2023-01-13,Facebook,3342.81,39,0,inf,0
2023-01-13,Google,3992.86,70,1,3992.86,1
2023-01-13,Email,697.13,19,0,inf,0
2023-01-13,Instagram,4700.17,76,3,1566.7233333333334,3
2023-01-14,Facebook,2943.64,73,2,1471.82,2
2023-01-14,Google,1359.97,28,1,1359.97,1
2023-01-14,Email,4396.09,94,1,4396.09,1
2023-01-14,Instagram,2156.09,23,0,inf,0
2023-01-15,Facebook,4525.87,88,4,1131.4675,4
2023-01-15,Google,2732.91,45,2,1366.455,2
2023-01-15,Email,2836.74,33,1,2836.74,1
2023-01-15,Instagram,855.17,12,0,inf,0
2023-01-16,Facebook,2954.63,64,0,inf,0
2023-01-16,Google,3474.14,78,2,1737.07,2
2023-01-16,Email,2417.52,32,0,inf,0
2023-01-16,Instagram,690.6,7,0,inf,0
2023-01-17,Facebook,4991.68,118,5,998.336,5
2023-01-17,Google,4765.57,183,6,794.2616666666667,6
2023-01-17,Email,2134.9,25,0,inf,0
2023-01-17,Instagram,4787.55,152,5,957.51,5
2023-01-18,Facebook,4015.9,176,2,2007.95,2
2023-01-18,Google,4003.32,81,2,2001.66,2
2023-01-18,Email,3052.6,44,1,3052.6,1
2023-01-18,Instagram,4769.71,95,3,1589.9033333333334,3
2023-01-19,Facebook,3082.65,49,1,3082.65,1
2023-01-19,Google,3423.02,85,1,3423.02,1
2023-01-19,Email,3810.54,63,1,3810.54,1
2023-01-19,Instagram,3027.53,73,1,3027.53,1
2023-01-20,Facebook,2508.23,25,0,inf,0
2023-01-20,Google,4624.16,77,1,4624.16,1
2023-01-20,Email,4337.72,77,3,1445.9066666666668,3
2023-01-20,Instagram,2503.0,92,3,834.3333333333334,3
2023-01-21,Facebook,4304.85,94,2,2152.425,2
2023-01-21,Google,792.23,12,0,inf,0
2023-01-21,Email,4331.13,56,2,2165.565,2
2023-01-21,Instagram,3369.65,40,1,3369.65,1
2023-01-22,Facebook,1046.13,28,0,inf,0
2023-01-22,Google,4056.68,183,5,811.336,5
2023-01-22,Email,2160.1,25,0,inf,0
2023-01-22,Instagram,3253.77,120,2,1626.885,2
2023-01-23,Facebook,4998.18,64,1,4998.18,1
2023-01-23,Google,3961.24,46,0,inf,0
2023-01-23,Email,4875.71,68,1,4875.71,1
2023-01-23,Instagram,3560.49,74,3,1186.83,3
2023-01-24,Facebook,4011.18,56,0,inf,0
2023-01-24,Google,4848.19,88,4,1212.0475,4
2023-01-24,Email,749.36,25,0,inf,0
2023-01-24,Instagram,1240.96,27,1,1240.96,1
2023-01-25,Facebook,2057.1,21,0,inf,0
2023-01-25,Google,4306.7,107,3,1435.5666666666666,3
2023-01-25,Email,2978.79,99,2,1489.395,2
2023-01-25,Instagram,2900.65,48,0,inf,0
2023-01-26,Facebook,4737.23,146,5,947.446,5
2023-01-26,Google,3742.85,54,2,1871.425,2
2023-01-26,Email,3036.28,35,0,inf,0
2023-01-26,Instagram,704.58,9,0,inf,0
2023-01-27,Facebook,3430.08,42,1,3430.08,1
2023-01-27,Google,3375.46,56,1,3375.46,1
2023-01-27,Email,1803.52,18,0,inf,0
2023-01-27,Instagram,4121.1,55,1,4121.1,1
2023-01-28,Facebook,828.38,33,0,inf,0
2023-01-28,Google,2679.13,73,2,1339.565,2
2023-01-28,Email,1906.62,24,0,inf,0
2023-01-28,Instagram,4373.5,44,0,inf,0
2023-01-29,Facebook,2167.43,33,0,inf,0
2023-01-29,Google,2599.13,62,1,2599.13,1
2023-01-29,Email,935.65,21,0,inf,0
2023-01-29,Instagram,3269.2,82,3,1089.7333333333331,3
2023-01-30,Facebook,1218.65,26,0,inf,0
2023-01-30,Google,1907.22,23,0,inf,0
2023-01-30,Email,2816.26,47,1,2816.26,1
2023-01-30,Instagram,604.29,6,0,inf,0
2023-01-31,Facebook,4850.09,130,3,1616.6966666666667,3
2023-01-31,Google,727.43,12,0,inf,0
2023-01-31,Email,3444.17,59,1,3444.17,1
2023-01-31,Instagram,4312.28,79,3,1437.4266666666665,3
2023-02-01,Facebook,3773.79,46,1,3773.79,1
2023-02-01,Google,2302.62,35,0,inf,0
2023-02-01,Email,2989.5,115,3,996.5,3
2023-02-01,Instagram,3939.82,92,4,984.955,4
2023-02-02,Facebook,3561.79,120,5,712.358,5
2023-02-02,Google,2272.57,27,0,inf,0
2023-02-02,Email,4725.27,58,1,4725.27,1
2023-02-02,Instagram,2791.05,46,0,inf,0
2023-02-03,Facebook,1116.66,23,0,inf,0
2023-02-03,Google,2556.45,37,1,2556.45,1
2023-02-03,Email,1975.85,28,0,inf,0
2023-02-03,Instagram,4957.77,62,1,4957.77,1
2023-02-04,Facebook,2013.68,23,0,inf,0
2023-02-04,Google,3689.33,83,3,1229.7766666666666,3
2023-02-04,Email,2157.61,29,1,2157.61,1
2023-02-04,Instagram,3126.66,37,1,3126.66,1
2023-02-05,Facebook,3596.2,162,4,899.05,4
2023-02-05,Google,4851.82,58,2,2425.91,2
2023-02-05,Email,3099.35,39,1,3099.35,1
2023-02-05,Instagram,1267.3,18,0,inf,0
2023-02-06,Facebook,4285.25,134,4,1071.3125,4
2023-02-06,Google,642.07,6,0,inf,0
2023-02-06,Email,585.22,12,0,inf,0
2023-02-06,Instagram,3607.25,68,2,1803.625,2
2023-02-07,Facebook,4642.34,51,2,2321.17,2
2023-02-07,Google,780.27,25,0,inf,0
2023-02-07,Email,1962.72,26,0,inf,0
2023-02-07,Instagram,1911.89,56,2,955.945,2
2023-02-08,Facebook,2040.47,42,1,2040.47,1
2023-02-08,Google,3744.16,52,1,3744.16,1
2023-02-08,Email,3245.34,91,1,3245.34,1
2023-02-08,Instagram,3011.39,79,3,1003.7966666666666,3
2023-02-09,Facebook,1839.27,42,0,inf,0
2023-02-09,Google,3672.45,80,1,3672.45,1
2023-02-09,Email,4701.65,56,1,4701.65,1
2023-02-09,Instagram,1048.43,14,0,inf,0
2023-02-10,Facebook,4910.72,57,2,2455.36,2
2023-02-10,Google,4120.77,95,2,2060.385,2
2023-02-10,Email,3713.64,77,2,1856.82,2
2023-02-10,Instagram,1654.0,28,0,inf,0
2023-02-11,Facebook,2923.6,30,1,2923.6,1
2023-02-11,Google,1117.73,16,0,inf,0
2023-02-11,Email,1591.06,21,0,inf,0
2023-02-11,Instagram,3370.75,139,3,1123.5833333333333,3
2023-02-12,Facebook,3728.11,132,5,745.6220000000001,5
2023-02-12,Google,523.32,8,0,inf,0
2023-02-12,Email,2331.08,24,1,2331.08,1
2023-02-12,Instagram,2648.52,73,3,882.84,3
2023-02-13,Facebook,1945.25,27,1,1945.25,1
2023-02-13,Google,902.57,13,0,inf,0
2023-02-13,Email,3754.03,39,1,3754.03,1
2023-02-13,Instagram,1287.79,14,0,inf,0
2023-02-14,Facebook,4638.36,46,1,4638.36,1
2023-02-14,Google,2729.23,28,1,2729.23,1
2023-02-14,Email,4667.18,51,0,inf,0
2023-02-14,Instagram,3055.83,106,5,611.1659999999999,5
2023-02-15,Facebook,1780.53,17,0,inf,0
2023-02-15,Google,2722.61,28,1,2722.61,1
2023-02-15,Email,2606.09,73,1,2606.09,1
2023-02-15,Instagram,1231.22,21,0,inf,0
2023-02-16,Facebook,1337.9,16,0,inf,0
2023-02-16,Google,3055.02,37,0,inf,0
2023-02-16,Email,4352.66,47,2,2176.33,2
2023-02-16,Instagram,2818.76,104,3,939.5866666666668,3
2023-02-17,Facebook,1331.52,42,0,inf,0
2023-02-17,Google,1616.21,39,0,inf,0
2023-02-17,Email,3891.9,40,0,inf,0
2023-02-17,Instagram,3752.97,179,6,625.495,6
2023-02-18,Facebook,3617.46,144,2,1808.73,2
2023-02-18,Google,1880.63,35,1,1880.63,1
2023-02-18,Email,4528.03,59,1,4528.03,1
2023-02-18,Instagram,1028.37,11,0,inf,0
2023-02-19,Facebook,3265.81,87,1,3265.81,1
2023-02-19,Google,1189.34,14,0,inf,0
2023-02-19,Email,2371.31,37,1,2371.31,1
2023-02-19,Instagram,2918.83,39,0,inf,0
2023-02-20,Facebook,1613.59,20,0,inf,0
2023-02-20,Google,868.42,15,0,inf,0
2023-02-20,Email,851.46,13,0,inf,0
2023-02-20,Instagram,2964.42,49,1,2964.42,1
2023-02-21,Facebook,1174.34,25,0,inf,0
2023-02-21,Google,1023.08,28,0,inf,0
2023-02-21,Email,909.24,14,0,inf,0
2023-02-21,Instagram,2540.45,41,1,2540.45,1
2023-02-22,Facebook,759.82,13,0,inf,0
2023-02-22,Google,3754.76,72,3,1251.5866666666668,3
2023-02-22,Email,3856.12,58,0,inf,0
2023-02-22,Instagram,2050.38,81,4,512.595,4
2023-02-23,Facebook,4705.62,184,8,588.2025,8
2023-02-23,Google,642.81,12,0,inf,0
2023-02-23,Email,3946.22,40,1,3946.22,1
2023-02-23,Instagram,2391.63,24,0,inf,0
2023-02-24,Facebook,4413.29,47,1,4413.29,1
2023-02-24,Google,3572.29,48,1,3572.29,1
2023-02-24,Email,3440.9,71,1,3440.9,1
2023-02-24,Instagram,2917.66,46,1,2917.66,1
2023-02-25,Facebook,1502.11,74,0,inf,0
2023-02-25,Google,1842.63,24,0,inf,0
2023-02-25,Email,2893.7,33,0,inf,0
2023-02-25,Instagram,2057.72,48,2,1028.86,2
2023-02-26,Facebook,3762.61,129,5,752.522,5
2023-02-26,Google,2386.58,29,1,2386.58,1
2023-02-26,Email,570.41,15,0,inf,0
2023-02-26,Instagram,651.09,9,0,inf,0
2023-02-27,Facebook,719.04,9,0,inf,0
2023-02-27,Google,1554.53,41,1,1554.53,1
2023-02-27,Email,754.0,12,0,inf,0
2023-02-27,Instagram,4171.04,53,1,4171.04,1
2023-02-28,Facebook,3190.63,43,0,inf,0
2023-02-28,Google,1857.94,59,2,928.97,2
2023-02-28,Email,1494.69,33,0,inf,0
2023-02-28,Instagram,4768.34,52,2,2384.17,2
2023-03-01,Facebook,3316.97,61,1,3316.97,1
2023-03-01,Google,4875.31,51,1,4875.31,1
2023-03-01,Email,4036.12,88,2,2018.06,2
2023-03-01,Instagram,1171.48,23,0,inf,0
2023-03-02,Facebook,2630.83,29,0,inf,0
2023-03-02,Google,3684.1,43,2,1842.05,2
2023-03-02,Email,3030.74,31,1,3030.74,1
2023-03-02,Instagram,1103.42,27,0,inf,0
2023-03-03,Facebook,3410.18,36,1,3410.18,1
2023-03-03,Google,916.09,11,0,inf,0
2023-03-03,Email,1708.08,23,0,inf,0
2023-03-03,Instagram,4431.29,126,5,886.258,5
2023-03-04,Facebook,3759.37,58,1,3759.37,1
2023-03-04,Google,4412.63,94,4,1103.1575,4
2023-03-04,Email,569.0,5,0,inf,0
2023-03-04,Instagram,1027.92,10,0,inf,0
2023-03-05,Facebook,1591.67,23,0,inf,0
2023-03-05,Google,4618.07,71,2,2309.035,2
2023-03-05,Email,2212.98,35,0,inf,0
2023-03-05,Instagram,1677.03,27,0,inf,0
2023-03-06,Facebook,943.74,9,0,inf,0
2023-03-06,Google,4278.79,45,1,4278.79,1
2023-03-06,Email,2362.69,36,0,inf,0
2023-03-06,Instagram,1156.65,28,1,1156.65,1
2023-03-07,Facebook,3106.14,58,0,inf,0
2023-03-07,Google,1984.39,39,1,1984.39,1
2023-03-07,Email,2746.86,37,1,2746.86,1
2023-03-07,Instagram,1657.97,19,0,inf,0
2023-03-08,Facebook,3387.63,57,0,inf,0
2023-03-08,Google,4077.39,121,4,1019.3475,4
2023-03-08,Email,2697.42,28,0,inf,0
2023-03-08,Instagram,3388.14,137,1,3388.14,1
2023-03-09,Facebook,4310.14,45,1,4310.14,1
2023-03-09,Google,3939.52,74,3,1313.1733333333334,3
2023-03-09,Email,1541.45,20,0,inf,0
2023-03-09,Instagram,2775.8,55,1,2775.8,1
2023-03-10,Facebook,3500.4,50,1,3500.4,1
2023-03-10,Google,2695.34,131,4,673.835,4
2023-03-10,Email,553.33,8,0,inf,0
2023-03-10,Instagram,4898.66,229,9,544.2955555555556,9
2023-03-11,Facebook,3533.15,41,1,3533.15,1
2023-03-11,Google,981.57,35,0,inf,0
2023-03-11,Email,1363.69,21,0,inf,0
2023-03-11,Instagram,1702.96,32,0,inf,0
2023-03-12,Facebook,2327.12,35,1,2327.12,1
2023-03-12,Google,1516.36,20,0,inf,0
2023-03-12,Email,3441.81,38,1,3441.81,1
2023-03-12,Instagram,920.75,18,0,inf,0
2023-03-13,Facebook,752.52,36,0,inf,0
2023-03-13,Google,2749.36,50,2,1374.68,2
2023-03-13,Email,3046.35,34,0,inf,0
2023-03-13,Instagram,2876.72,122,2,1438.36,2
2023-03-14,Facebook,4406.53,48,1,4406.53,1
2023-03-14,Google,709.53,27,1,709.53,1
2023-03-14,Email,4546.9,69,0,inf,0
2023-03-14,Instagram,4679.45,103,4,1169.8625,4
2023-03-15,Facebook,3141.66,39,1,3141.66,1
2023-03-15,Google,2292.33,87,1,2292.33,1
2023-03-15,Email,1582.12,18,0,inf,0
2023-03-15,Instagram,4534.37,97,3,1511.4566666666667,3
2023-03-16,Facebook,1129.78,11,0,inf,0
2023-03-16,Google,2753.57,28,0,inf,0
2023-03-16,Email,2466.9,28,0,inf,0
2023-03-16,Instagram,3960.53,41,1,3960.53,1
2023-03-17,Facebook,3981.0,177,3,1327.0,3
2023-03-17,Google,4966.64,83,2,2483.32,2
2023-03-17,Email,4735.14,86,3,1578.38,3
2023-03-17,Instagram,3473.02,129,4,868.255,4
2023-03-18,Facebook,4091.25,53,0,inf,0
2023-03-18,Google,1193.99,15,0,inf,0
2023-03-18,Email,3828.45,84,1,3828.45,1
2023-03-18,Instagram,523.38,11,0,inf,0
2023-03-19,Facebook,1713.95,56,0,inf,0
2023-03-19,Google,2519.8,39,1,2519.8,1
2023-03-19,Email,618.18,12,0,inf,0
2023-03-19,Instagram,3191.2,69,1,3191.2,1
2023-03-20,Facebook,1813.31,35,0,inf,0
2023-03-20,Google,4555.11,49,2,2277.555,2
2023-03-20,Email,3073.82,91,2,1536.91,2
2023-03-20,Instagram,1124.78,25,0,inf,0
2023-03-21,Facebook,784.7,14,0,inf,0
2023-03-21,Google,2679.04,102,2,1339.52,2
2023-03-21,Email,1609.66,22,0,inf,0
2023-03-21,Instagram,1379.97,48,1,1379.97,1
2023-03-22,Facebook,4769.71,102,3,1589.9033333333334,3
2023-03-22,Google,4118.34,88,2,2059.17,2
2023-03-22,Email,4169.64,46,2,2084.82,2
2023-03-22,Instagram,1112.56,24,1,1112.56,1
2023-03-23,Facebook,1403.83,31,1,1403.83,1
2023-03-23,Google,4859.26,112,4,1214.815,4
2023-03-23,Email,2709.53,41,0,inf,0
2023-03-23,Instagram,2192.25,25,0,inf,0
2023-03-24,Facebook,1012.5,15,0,inf,0
2023-03-24,Google,2955.33,39,1,2955.33,1
2023-03-24,Email,4788.52,84,3,1596.1733333333334,3
2023-03-24,Instagram,2473.05,57,2,1236.525,2
2023-03-25,Facebook,4185.35,50,1,4185.35,1
2023-03-25,Google,2746.86,38,0,inf,0
2023-03-25,Email,3463.98,44,1,3463.98,1
2023-03-25,Instagram,832.84,8,0,inf,0
2023-03-26,Facebook,2303.62,38,1,2303.62,1
2023-03-26,Google,3612.69,56,2,1806.345,2
2023-03-26,Email,2117.88,23,0,inf,0
2023-03-26,Instagram,3371.81,125,5,674.362,5
2023-03-27,Facebook,3459.21,71,2,1729.605,2
2023-03-27,Google,699.34,7,0,inf,0
2023-03-27,Email,2298.28,28,1,2298.28,1
2023-03-27,Instagram,2437.05,116,2,1218.525,2
2023-03-28,Facebook,2798.04,45,1,2798.04,1
2023-03-28,Google,3088.56,55,1,3088.56,1
2023-03-28,Email,3975.54,59,1,3975.54,1
2023-03-28,Instagram,2052.35,93,1,2052.35,1
2023-03-29,Facebook,2371.89,24,0,inf,0
2023-03-29,Google,4733.04,151,3,1577.68,3
2023-03-29,Email,2549.0,69,2,1274.5,2
2023-03-29,Instagram,2642.73,48,1,2642.73,1
2023-03-30,Facebook,1935.09,43,1,1935.09,1
2023-03-30,Google,1017.88,11,0,inf,0
2023-03-30,Email,3547.13,107,5,709.426,5
2023-03-30,Instagram,1597.61,47,0,inf,0
2023-03-31,Facebook,3019.32,31,0,inf,0
2023-03-31,Google,2322.71,66,2,1161.355,2
2023-03-31,Email,2444.61,109,3,814.87,3
2023-03-31,Instagram,1387.96,20,0,inf,0
2023-04-01,Facebook,3671.31,100,4,917.8275,4
2023-04-01,Google,4139.28,165,2,2069.64,2
2023-04-01,Email,4423.91,126,2,2211.955,2
2023-04-01,Instagram,2558.98,62,2,1279.49,2
2023-04-02,Facebook,2874.72,40,1,2874.72,1
2023-04-02,Google,3250.89,48,1,3250.89,1
2023-04-02,Email,4304.83,62,2,2152.415,2
2023-04-02,Instagram,3676.95,83,2,1838.475,2
2023-04-03,Facebook,881.38,28,0,inf,0
2023-04-03,Google,1874.21,54,2,937.105,2
2023-04-03,Email,2798.71,52,0,inf,0
2023-04-03,Instagram,2226.69,63,2,1113.345,2
2023-04-04,Facebook,3620.45,50,2,1810.225,2
2023-04-04,Google,2997.11,50,0,inf,0
2023-04-04,Email,1915.61,34,0,inf,0
2023-04-04,Instagram,2115.68,101,1,2115.68,1
2023-04-05,Facebook,4168.47,42,1,4168.47,1
2023-04-05,Google,2727.36,36,0,inf,0
2023-04-05,Email,4279.51,72,0,inf,0
2023-04-05,Instagram,638.87,7,0,inf,0
2023-04-06,Facebook,1736.84,27,0,inf,0
2023-04-06,Google,2557.95,32,1,2557.95,1
2023-04-06,Email,2973.77,102,1,2973.77,1
2023-04-06,Instagram,3988.01,46,1,3988.01,1
2023-04-07,Facebook,4201.75,180,6,700.2916666666666,6
2023-04-07,Google,2958.59,29,0,inf,0
2023-04-07,Email,4235.32,52,1,4235.32,1
2023-04-07,Instagram,4996.91,89,2,2498.455,2
2023-04-08,Facebook,4175.28,75,3,1391.76,3
2023-04-08,Google,3990.34,102,4,997.585,4
2023-04-08,Email,3145.66,65,2,1572.83,2
2023-04-08,Instagram,3347.47,100,1,3347.47,1
2023-04-09,Facebook,1429.79,39,0,inf,0
2023-04-09,Google,2078.67,48,1,2078.67,1
2023-04-09,Email,1956.44,25,0,inf,0
2023-04-09,Instagram,1703.04,19,0,inf,0
2023-04-10,Facebook,3556.85,128,6,592.8083333333333,6
2023-04-10,Google,4035.61,43,2,2017.805,2
2023-04-10,Email,4401.71,145,6,733.6183333333333,6
2023-04-10,Instagram,1623.55,21,0,inf,0
2023-04-11,Facebook,3926.63,52,1,3926.63,1
2023-04-11,Google,3098.41,74,1,3098.41,1
2023-04-11,Email,2533.96,35,1,2533.96,1
2023-04-11,Instagram,918.93,15,0,inf,0
2023-04-12,Facebook,4713.51,95,4,1178.3775,4
2023-04-12,Google,1972.8,97,3,657.6,3
2023-04-12,Email,3797.26,48,1,3797.26,1
2023-04-12,Instagram,3488.65,71,0,inf,0
2023-04-13,Facebook,2904.91,77,2,1452.455,2
2023-04-13,Google,1453.33,35,1,1453.33,1
2023-04-13,Email,2019.9,30,0,inf,0
2023-04-13,Instagram,2684.02,56,2,1342.01,2
2023-04-14,Facebook,717.84,25,1,717.84,1
2023-04-14,Google,2568.12,85,3,856.04,3
2023-04-14,Email,2485.79,123,5,497.158,5
2023-04-14,Instagram,1410.43,18,0,inf,0
2023-04-15,Facebook,3424.99,104,4,856.2475,4
2023-04-15,Google,1733.09,23,0,inf,0
2023-04-15,Email,2173.3,23,0,inf,0
2023-04-15,Instagram,2283.54,51,1,2283.54,1
2023-04-16,Facebook,1553.65,21,0,inf,0
2023-04-16,Google,504.89,8,0,inf,0
2023-04-16,Email,1517.86,20,0,inf,0
2023-04-16,Instagram,3630.19,42,2,1815.095,2
2023-04-17,Facebook,2400.41,78,1,2400.41,1
2023-04-17,Google,2223.81,28,0,inf,0
2023-04-17,Email,1910.08,21,0,inf,0
2023-04-17,Instagram,3980.57,49,0,inf,0
2023-04-18,Facebook,4968.23,158,4,1242.0575,4
2023-04-18,Google,538.14,7,0,inf,0
2023-04-18,Email,3750.94,53,0,inf,0
2023-04-18,Instagram,2352.69,31,1,2352.69,1
2023-04-19,Facebook,890.1,31,1,890.1,1
2023-04-19,Google,3153.08,62,3,1051.0266666666666,3
2023-04-19,Email,1915.27,61,1,1915.27,1
2023-04-19,Instagram,879.12,13,0,inf,0
2023-04-20,Facebook,3234.17,39,1,3234.17,1
2023-04-20,Google,4315.51,59,1,4315.51,1
2023-04-20,Email,2829.87,46,1,2829.87,1
2023-04-20,Instagram,1829.94,75,3,609.98,3
2023-04-21,Facebook,4796.02,80,1,4796.02,1
2023-04-21,Google,2748.12,40,1,2748.12,1
2023-04-21,Email,4899.64,49,2,2449.82,2
2023-04-21,Instagram,1093.92,12,0,inf,0
2023-04-22,Facebook,2144.36,28,1,2144.36,1
2023-04-22,Google,4795.04,58,0,inf,0
2023-04-22,Email,803.9,19,0,inf,0
2023-04-22,Instagram,772.11,9,0,inf,0
2023-04-23,Facebook,3328.57,55,1,3328.57,1
2023-04-23,Google,3658.15,137,4,914.5375,4
2023-04-23,Email,3272.21,77,1,3272.21,1
2023-04-23,Instagram,2800.87,77,3,933.6233333333332,3
2023-04-24,Facebook,2913.76,56,1,2913.76,1
2023-04-24,Google,4255.37,57,0,inf,0
2023-04-24,Email,3644.04,46,2,1822.02,2
2023-04-24,Instagram,760.58,28,0,inf,0
2023-04-25,Facebook,2540.17,36,0,inf,0
2023-04-25,Google,3837.62,48,0,inf,0
2023-04-25,Email,3685.55,48,0,inf,0
2023-04-25,Instagram,4788.57,77,3,1596.1899999999998,3
2023-04-26,Facebook,3743.44,112,1,3743.44,1
2023-04-26,Google,4015.06,96,4,1003.765,4
2023-04-26,Email,3971.44,177,7,567.3485714285714,7
2023-04-26,Instagram,1723.91,68,2,861.955,2
2023-04-27,Facebook,3094.93,118,3,1031.6433333333332,3
2023-04-27,Google,2120.56,35,1,2120.56,1
2023-04-27,Email,2154.6,53,0,inf,0
2023-04-27,Instagram,3082.61,39,0,inf,0
2023-04-28,Facebook,2789.71,118,5,557.942,5
2023-04-28,Google,1600.48,27,0,inf,0
2023-04-28,Email,1175.38,12,0,inf,0
2023-04-28,Instagram,2987.89,32,1,2987.89,1
2023-04-29,Facebook,2387.16,52,1,2387.16,1
2023-04-29,Google,3741.3,89,1,3741.3,1
2023-04-29,Email,2177.64,36,1,2177.64,1
2023-04-29,Instagram,1307.05,15,0,inf,0
2023-04-30,Facebook,4793.36,187,5,958.672,5
2023-04-30,Google,1770.38,20,0,inf,0
2023-04-30,Email,2988.91,144,2,1494.455,2
2023-04-30,Instagram,3037.13,68,2,1518.565,2
2023-05-01,Facebook,2587.67,38,1,2587.67,1
2023-05-01,Google,3976.76,111,5,795.3520000000001,5
2023-05-01,Email,3922.17,99,1,3922.17,1
2023-05-01,Instagram,2345.16,60,1,2345.16,1
2023-05-02,Facebook,4278.08,47,2,2139.04,2
2023-05-02,Google,506.58,6,0,inf,0
2023-05-02,Email,3772.47,133,4,943.1175,4
2023-05-02,Instagram,1571.75,26,0,inf,0
2023-05-03,Facebook,4986.32,64,0,inf,0
2023-05-03,Google,4645.73,50,1,4645.73,1
2023-05-03,Email,3653.81,73,3,1217.9366666666667,3
2023-05-03,Instagram,882.06,31,0,inf,0
2023-05-04,Facebook,4189.83,161,5,837.966,5
2023-05-04,Google,2457.42,25,0,inf,0
2023-05-04,Email,1674.46,37,1,1674.46,1
2023-05-04,Instagram,3653.27,46,1,3653.27,1
2023-05-05,Facebook,1723.8,66,1,1723.8,1
2023-05-05,Google,4009.72,60,0,inf,0
2023-05-05,Email,1239.69,21,0,inf,0
2023-05-05,Instagram,2911.66,29,0,inf,0
2023-05-06,Facebook,1887.38,45,0,inf,0
2023-05-06,Google,1209.27,16,0,inf,0
2023-05-06,Email,3635.95,156,6,605.9916666666667,6
2023-05-06,Instagram,1975.07,72,1,1975.07,1
2023-05-07,Facebook,2100.84,34,1,2100.84,1
2023-05-07,Google,1670.75,16,0,inf,0
2023-05-07,Email,2319.77,41,1,2319.77,1
2023-05-07,Instagram,1624.34,28,1,1624.34,1
2023-05-08,Facebook,1129.07,53,2,564.535,2
2023-05-08,Google,4921.55,161,6,820.2583333333333,6
2023-05-08,Email,2175.08,30,1,2175.08,1
2023-05-08,Instagram,3120.46,76,3,1040.1533333333334,3
2023-05-09,Facebook,598.1,23,1,598.1,1
2023-05-09,Google,2495.44,82,3,831.8133333333334,3
2023-05-09,Email,4232.1,90,1,4232.1,1
2023-05-09,Instagram,2574.48,76,2,1287.24,2
2023-05-10,Facebook,4197.58,81,0,inf,0
2023-05-10,Google,3574.46,105,1,3574.46,1
2023-05-10,Email,1342.18,31,1,1342.18,1
2023-05-10,Instagram,655.92,9,0,inf,0
2023-05-11,Facebook,1827.97,34,1,1827.97,1
2023-05-11,Google,774.41,18,0,inf,0
2023-05-11,Email,1397.56,15,0,inf,0
2023-05-11,Instagram,3338.39,39,1,3338.39,1
2023-05-12,Facebook,4952.32,59,1,4952.32,1
2023-05-12,Google,2950.33,50,2,1475.165,2
2023-05-12,Email,2760.77,54,0,inf,0
2023-05-12,Instagram,1934.95,51,2,967.475,2
2023-05-13,Facebook,4003.42,162,8,500.4275,8
