date,product_id,opening_stock,restock_qty,sold_qty,closing_stock,stockout_flag,unit_cost,inventory_value,cogs,on_hand_qty,days_since_last_sale
2023-01-01,P00035,82,0,2,80,0,645.94,51675.2,1291.88,80,-709
2023-01-01,P00036,59,0,0,59,0,990.96,58466.64,0.0,59,-726
2023-01-01,P00037,96,0,0,96,0,485.74,46631.04,0.0,96,-724
2023-01-01,P00038,67,0,0,67,0,1418.42,95034.14,0.0,67,-730
2023-01-01,P00039,55,0,1,54,0,809.06,43689.24,809.06,54,-727
2023-01-01,P00040,61,0,0,61,0,3241.22,197714.42,0.0,61,-727
2023-01-01,P00041,78,0,0,78,0,637.28,49707.84,0.0,78,-721
2023-01-01,P00042,52,0,0,52,0,1421.08,73896.16,0.0,52,-714
2023-01-01,P00043,67,0,1,66,0,1502.72,99179.52,1502.72,66,-730
2023-01-01,P00044,88,0,0,88,0,1831.42,161164.96000000002,0.0,88,-730
2023-01-01,P00045,62,0,3,59,0,800.05,47202.95,2400.15,59,-727
2023-01-01,P00046,94,0,0,94,0,909.14,85459.16,0.0,94,-729
2023-01-01,P00047,82,0,0,82,0,3883.7,318463.4,0.0,82,-730
2023-01-01,P00048,76,0,0,76,0,905.52,68819.52,0.0,76,-729
2023-01-01,P00049,61,0,0,61,0,3776.8,230384.8,0.0,61,-727
2023-01-01,P00050,90,0,0,90,0,878.02,79021.8,0.0,90,-730
2023-01-02,P00001,57,0,0,57,0,3440.14,196087.98,0.0,57,-725
2023-01-02,P00002,53,0,2,51,0,1259.97,64258.47,2519.94,51,-726
2023-01-02,P00003,78,0,4,74,0,912.38,67516.12,3649.52,74,-729
2023-01-02,P00004,87,0,0,87,0,811.12,70567.44,0.0,87,-729
2023-01-02,P00005,92,0,0,92,0,502.64,46242.88,0.0,92,-720
2023-01-02,P00006,53,0,2,51,0,405.25,20667.75,810.5,51,-729
2023-01-02,P00007,70,0,0,70,0,1830.66,128146.2,0.0,70,-729
2023-01-02,P00008,56,0,0,56,0,3018.56,169039.36,0.0,56,-729
2023-01-02,P00009,84,0,0,84,0,1667.07,140033.88,0.0,84,-719
2023-01-02,P00010,67,0,0,67,0,463.6,31061.2,0.0,67,-720
2023-01-02,P00011,62,0,0,62,0,2568.64,159255.68,0.0,62,-729
2023-01-02,P00012,91,0,2,89,0,2759.84,245625.76,5519.68,89,-718
2023-01-02,P00013,89,0,0,89,0,1591.13,141610.57,0.0,89,-726
2023-01-02,P00014,95,0,1,94,0,1558.0,146452.0,1558.0,94,-724
2023-01-02,P00015,51,0,5,46,0,2016.06,92738.76,10080.3,46,-705
2023-01-02,P00016,68,0,1,67,0,1216.09,81478.03,1216.09,67,-724
2023-01-02,P00017,93,0,2,91,0,2648.28,240993.48,5296.56,91,-725
2023-01-02,P00018,70,0,2,68,0,1328.99,90371.32,2657.98,68,-723
2023-01-02,P00019,90,0,2,88,0,322.92,28416.960000000003,645.84,88,-723
2023-01-02,P00020,60,0,0,60,0,745.08,44704.8,0.0,60,-729
2023-01-02,P00021,87,0,4,83,0,602.22,49984.26,2408.88,83,-727
2023-01-02,P00022,91,0,3,88,0,758.73,66768.24,2276.19,88,-714
2023-01-02,P00023,73,0,0,73,0,604.8,44150.4,0.0,73,-722
2023-01-02,P00024,80,0,2,78,0,338.12,26373.36,676.24,78,-726
2023-01-02,P00025,49,0,0,49,0,1739.53,85236.97,0.0,49,-727
2023-01-02,P00026,92,0,2,90,0,1112.72,100144.8,2225.44,90,-722
2023-01-02,P00027,73,0,0,73,0,1197.77,87437.20999999999,0.0,73,-727
2023-01-02,P00028,76,0,6,70,0,3625.16,253761.2,21750.96,70,-725
2023-01-02,P00029,92,0,0,92,0,1657.67,152505.64,0.0,92,-728
2023-01-02,P00030,92,0,2,90,0,778.75,70087.5,1557.5,90,-725
2023-01-02,P00031,53,0,0,53,0,471.55,24992.15,0.0,53,-727
2023-01-02,P00032,54,0,0,54,0,386.3,20860.2,0.0,54,-713
2023-01-02,P00033,60,0,0,60,0,818.19,49091.4,0.0,60,-725
2023-01-02,P00034,98,0,0,98,0,2216.38,217205.24,0.0,98,-721
2023-01-02,P00035,80,0,0,80,0,645.94,51675.2,0.0,80,-708
2023-01-02,P00036,59,0,0,59,0,990.96,58466.64,0.0,59,-725
2023-01-02,P00037,96,0,1,95,0,485.74,46145.3,485.74,95,-723
2023-01-02,P00038,67,0,0,67,0,1418.42,95034.14,0.0,67,-729
2023-01-02,P00039,54,0,2,52,0,809.06,42071.12,1618.12,52,-726
2023-01-02,P00040,61,0,0,61,0,3241.22,197714.42,0.0,61,-726
2023-01-02,P00041,78,0,0,78,0,637.28,49707.84,0.0,78,-720
2023-01-02,P00042,52,0,4,48,0,1421.08,68211.84,5684.32,48,-713
2023-01-02,P00043,66,0,1,65,0,1502.72,97676.8,1502.72,65,-729
2023-01-02,P00044,88,0,2,86,0,1831.42,157502.12,3662.84,86,-729
2023-01-02,P00045,59,0,2,57,0,800.05,45602.85,1600.1,57,-726
2023-01-02,P00046,94,0,2,92,0,909.14,83640.88,1818.28,92,-728
2023-01-02,P00047,82,0,2,80,0,3883.7,310696.0,7767.4,80,-729
2023-01-02,P00048,76,0,0,76,0,905.52,68819.52,0.0,76,-728
2023-01-02,P00049,61,0,3,58,0,3776.8,219054.4,11330.4,58,-726
2023-01-02,P00050,90,0,3,87,0,878.02,76387.74,2634.06,87,-729
2023-01-03,P00001,57,0,3,54,0,3440.14,185767.56,10320.42,54,-724
2023-01-03,P00002,51,0,3,48,0,1259.97,60478.56,3779.91,48,-725
2023-01-03,P00003,74,0,2,72,0,912.38,65691.36,1824.76,72,-728
2023-01-03,P00004,87,0,2,85,0,811.12,68945.2,1622.24,85,-728
2023-01-03,P00005,92,0,0,92,0,502.64,46242.88,0.0,92,-719
2023-01-03,P00006,51,0,0,51,0,405.25,20667.75,0.0,51,-728
2023-01-03,P00007,70,0,0,70,0,1830.66,128146.2,0.0,70,-728
2023-01-03,P00008,56,0,0,56,0,3018.56,169039.36,0.0,56,-728
2023-01-03,P00009,84,0,0,84,0,1667.07,140033.88,0.0,84,-718
2023-01-03,P00010,67,0,0,67,0,463.6,31061.2,0.0,67,-719
2023-01-03,P00011,62,0,0,62,0,2568.64,159255.68,0.0,62,-728
2023-01-03,P00012,89,0,0,89,0,2759.84,245625.76,0.0,89,-717
2023-01-03,P00013,89,0,0,89,0,1591.13,141610.57,0.0,89,-725
2023-01-03,P00014,94,0,0,94,0,1558.0,146452.0,0.0,94,-723
2023-01-03,P00015,46,0,0,46,0,2016.06,92738.76,0.0,46,-704
2023-01-03,P00016,67,0,0,67,0,1216.09,81478.03,0.0,67,-723
2023-01-03,P00017,91,0,2,89,0,2648.28,235696.92,5296.56,89,-724
2023-01-03,P00018,68,0,0,68,0,1328.99,90371.32,0.0,68,-722
2023-01-03,P00019,88,0,6,82,0,322.92,26479.44,1937.52,82,-722
2023-01-03,P00020,60,0,3,57,0,745.08,42469.560000000005,2235.24,57,-728
2023-01-03,P00021,83,0,5,78,0,602.22,46973.16,3011.1000000000004,78,-726
2023-01-03,P00022,88,0,1,87,0,758.73,66009.51,758.73,87,-713
2023-01-03,P00023,73,0,0,73,0,604.8,44150.4,0.0,73,-721
2023-01-03,P00024,78,0,2,76,0,338.12,25697.12,676.24,76,-725
2023-01-03,P00025,49,0,2,47,0,1739.53,81757.91,3479.06,47,-726
2023-01-03,P00026,90,0,0,90,0,1112.72,100144.8,0.0,90,-721
2023-01-03,P00027,73,0,6,67,0,1197.77,80250.59,7186.62,67,-726
2023-01-03,P00028,70,0,1,69,0,3625.16,250136.04,3625.16,69,-724
2023-01-03,P00029,92,0,0,92,0,1657.67,152505.64,0.0,92,-727
2023-01-03,P00030,90,0,0,90,0,778.75,70087.5,0.0,90,-724
2023-01-03,P00031,53,0,0,53,0,471.55,24992.15,0.0,53,-726
2023-01-03,P00032,54,0,0,54,0,386.3,20860.2,0.0,54,-712
2023-01-03,P00033,60,0,2,58,0,818.19,47455.02,1636.38,58,-724
2023-01-03,P00034,98,0,0,98,0,2216.38,217205.24,0.0,98,-720
2023-01-03,P00035,80,0,0,80,0,645.94,51675.2,0.0,80,-707
2023-01-03,P00036,59,0,0,59,0,990.96,58466.64,0.0,59,-724
2023-01-03,P00037,95,0,0,95,0,485.74,46145.3,0.0,95,-722
2023-01-03,P00038,67,0,2,65,0,1418.42,92197.3,2836.84,65,-728
2023-01-03,P00039,52,0,1,51,0,809.06,41262.06,809.06,51,-725
2023-01-03,P00040,61,0,0,61,0,3241.22,197714.42,0.0,61,-725
2023-01-03,P00041,78,0,0,78,0,637.28,49707.84,0.0,78,-719
2023-01-03,P00042,48,0,0,48,0,1421.08,68211.84,0.0,48,-712
2023-01-03,P00043,65,0,0,65,0,1502.72,97676.8,0.0,65,-728
2023-01-03,P00044,86,0,1,85,0,1831.42,155670.7,1831.42,85,-728
2023-01-03,P00045,57,0,6,51,0,800.05,40802.55,4800.299999999999,51,-725
2023-01-03,P00046,92,0,0,92,0,909.14,83640.88,0.0,92,-727
2023-01-03,P00047,80,0,2,78,0,3883.7,302928.6,7767.4,78,-728
2023-01-03,P00048,76,0,3,73,0,905.52,66102.95999999999,2716.56,73,-727
2023-01-03,P00049,58,0,0,58,0,3776.8,219054.4,0.0,58,-725
2023-01-03,P00050,87,0,0,87,0,878.02,76387.74,0.0,87,-728
2023-01-04,P00001,54,0,0,54,0,3440.14,185767.56,0.0,54,-723
2023-01-04,P00002,48,0,2,46,0,1259.97,57958.62,2519.94,46,-724
2023-01-04,P00003,72,0,2,70,0,912.38,63866.6,1824.76,70,-727
2023-01-04,P00004,85,0,3,82,0,811.12,66511.84,2433.36,82,-727
2023-01-04,P00005,92,0,0,92,0,502.64,46242.88,0.0,92,-718
2023-01-04,P00006,51,0,0,51,0,405.25,20667.75,0.0,51,-727
2023-01-04,P00007,70,0,0,70,0,1830.66,128146.2,0.0,70,-727
2023-01-04,P00008,56,0,8,48,0,3018.56,144890.88,24148.48,48,-727
2023-01-04,P00009,84,0,2,82,0,1667.07,136699.74,3334.14,82,-717
2023-01-04,P00010,67,0,0,67,0,463.6,31061.2,0.0,67,-718
2023-01-04,P00011,62,0,3,59,0,2568.64,151549.75999999998,7705.92,59,-727
2023-01-04,P00012,89,0,2,87,0,2759.84,240106.08,5519.68,87,-716
2023-01-04,P00013,89,0,0,89,0,1591.13,141610.57,0.0,89,-724
2023-01-04,P00014,94,0,0,94,0,1558.0,146452.0,0.0,94,-722
2023-01-04,P00015,46,0,0,46,0,2016.06,92738.76,0.0,46,-703
2023-01-04,P00016,67,0,1,66,0,1216.09,80261.93999999999,1216.09,66,-722
2023-01-04,P00017,89,0,0,89,0,2648.28,235696.92,0.0,89,-723
2023-01-04,P00018,68,0,1,67,0,1328.99,89042.33,1328.99,67,-721
2023-01-04,P00019,82,0,0,82,0,322.92,26479.44,0.0,82,-721
2023-01-04,P00020,57,0,0,57,0,745.08,42469.560000000005,0.0,57,-727
2023-01-04,P00021,78,0,1,77,0,602.22,46370.94,602.22,77,-725
2023-01-04,P00022,87,0,0,87,0,758.73,66009.51,0.0,87,-712
2023-01-04,P00023,73,0,2,71,0,604.8,42940.8,1209.6,71,-720
2023-01-04,P00024,76,0,2,74,0,338.12,25020.88,676.24,74,-724
2023-01-04,P00025,47,0,0,47,0,1739.53,81757.91,0.0,47,-725
2023-01-04,P00026,90,0,0,90,0,1112.72,100144.8,0.0,90,-720
2023-01-04,P00027,67,0,0,67,0,1197.77,80250.59,0.0,67,-725
2023-01-04,P00028,69,0,2,67,0,3625.16,242885.72,7250.32,67,-723
2023-01-04,P00029,92,0,2,90,0,1657.67,149190.30000000002,3315.34,90,-726
2023-01-04,P00030,90,0,0,90,0,778.75,70087.5,0.0,90,-723
2023-01-04,P00031,53,0,0,53,0,471.55,24992.15,0.0,53,-725
2023-01-04,P00032,54,0,0,54,0,386.3,20860.2,0.0,54,-711
2023-01-04,P00033,58,0,0,58,0,818.19,47455.02,0.0,58,-723
2023-01-04,P00034,98,0,0,98,0,2216.38,217205.24,0.0,98,-719
2023-01-04,P00035,80,0,0,80,0,645.94,51675.2,0.0,80,-706
2023-01-04,P00036,59,0,0,59,0,990.96,58466.64,0.0,59,-723
2023-01-04,P00037,95,0,0,95,0,485.74,46145.3,0.0,95,-721
2023-01-04,P00038,65,0,0,65,0,1418.42,92197.3,0.0,65,-727
2023-01-04,P00039,51,0,3,48,0,809.06,38834.88,2427.18,48,-724
2023-01-04,P00040,61,0,0,61,0,3241.22,197714.42,0.0,61,-724
2023-01-04,P00041,78,0,5,73,0,637.28,46521.44,3186.4,73,-718
2023-01-04,P00042,48,0,0,48,0,1421.08,68211.84,0.0,48,-711
2023-01-04,P00043,65,0,0,65,0,1502.72,97676.8,0.0,65,-727
2023-01-04,P00044,85,0,0,85,0,1831.42,155670.7,0.0,85,-727
2023-01-04,P00045,51,0,2,49,0,800.05,39202.45,1600.1,49,-724
2023-01-04,P00046,92,0,1,91,0,909.14,82731.74,909.14,91,-726
2023-01-04,P00047,78,0,1,77,0,3883.7,299044.9,3883.7,77,-727
2023-01-04,P00048,73,0,1,72,0,905.52,65197.44,905.52,72,-726
2023-01-04,P00049,58,0,1,57,0,3776.8,215277.6,3776.8,57,-724
2023-01-04,P00050,87,0,0,87,0,878.02,76387.74,0.0,87,-727
2023-01-05,P00001,54,0,0,54,0,3440.14,185767.56,0.0,54,-722
2023-01-05,P00002,46,0,0,46,0,1259.97,57958.62,0.0,46,-723
2023-01-05,P00003,70,0,0,70,0,912.38,63866.6,0.0,70,-726
2023-01-05,P00004,82,0,1,81,0,811.12,65700.72,811.12,81,-726
2023-01-05,P00005,92,0,0,92,0,502.64,46242.88,0.0,92,-717
2023-01-05,P00006,51,0,0,51,0,405.25,20667.75,0.0,51,-726
2023-01-05,P00007,70,0,0,70,0,1830.66,128146.2,0.0,70,-726
2023-01-05,P00008,48,0,2,46,0,3018.56,138853.76,6037.12,46,-726
2023-01-05,P00009,82,0,0,82,0,1667.07,136699.74,0.0,82,-716
2023-01-05,P00010,67,0,0,67,0,463.6,31061.2,0.0,67,-717
2023-01-05,P00011,59,0,0,59,0,2568.64,151549.75999999998,0.0,59,-726
2023-01-05,P00012,87,0,0,87,0,2759.84,240106.08,0.0,87,-715
2023-01-05,P00013,89,0,0,89,0,1591.13,141610.57,0.0,89,-723
2023-01-05,P00014,94,0,0,94,0,1558.0,146452.0,0.0,94,-721
2023-01-05,P00015,46,0,1,45,0,2016.06,90722.7,2016.06,45,-702
2023-01-05,P00016,66,0,0,66,0,1216.09,80261.93999999999,0.0,66,-721
2023-01-05,P00017,89,0,0,89,0,2648.28,235696.92,0.0,89,-722
2023-01-05,P00018,67,0,0,67,0,1328.99,89042.33,0.0,67,-720
2023-01-05,P00019,82,0,1,81,0,322.92,26156.52,322.92,81,-720
2023-01-05,P00020,57,0,0,57,0,745.08,42469.560000000005,0.0,57,-726
2023-01-05,P00021,77,0,2,75,0,602.22,45166.5,1204.44,75,-724
2023-01-05,P00022,87,0,0,87,0,758.73,66009.51,0.0,87,-711
2023-01-05,P00023,71,0,0,71,0,604.8,42940.8,0.0,71,-719
2023-01-05,P00024,74,0,4,70,0,338.12,23668.4,1352.48,70,-723
2023-01-05,P00025,47,0,0,47,0,1739.53,81757.91,0.0,47,-724
2023-01-05,P00026,90,0,0,90,0,1112.72,100144.8,0.0,90,-719
2023-01-05,P00027,67,0,2,65,0,1197.77,77855.05,2395.54,65,-724
2023-01-05,P00028,67,0,0,67,0,3625.16,242885.72,0.0,67,-722
2023-01-05,P00029,90,0,0,90,0,1657.67,149190.30000000002,0.0,90,-725
2023-01-05,P00030,90,0,0,90,0,778.75,70087.5,0.0,90,-722
2023-01-05,P00031,53,0,0,53,0,471.55,24992.15,0.0,53,-724
2023-01-05,P00032,54,0,0,54,0,386.3,20860.2,0.0,54,-710
2023-01-05,P00033,58,0,0,58,0,818.19,47455.02,0.0,58,-722
2023-01-05,P00034,98,0,0,98,0,2216.38,217205.24,0.0,98,-718
2023-01-05,P00035,80,0,0,80,0,645.94,51675.2,0.0,80,-705
2023-01-05,P00036,59,0,4,55,0,990.96,54502.8,3963.84,55,-722
2023-01-05,P00037,95,0,3,92,0,485.74,44688.08,1457.22,92,-720
2023-01-05,P00038,65,0,0,65,0,1418.42,92197.3,0.0,65,-726
2023-01-05,P00039,48,0,0,48,0,809.06,38834.88,0.0,48,-723
2023-01-05,P00040,61,0,2,59,0,3241.22,191231.98,6482.44,59,-723
2023-01-05,P00041,73,0,0,73,0,637.28,46521.44,0.0,73,-717
2023-01-05,P00042,48,0,0,48,0,1421.08,68211.84,0.0,48,-710
2023-01-05,P00043,65,0,4,61,0,1502.72,91665.92,6010.88,61,-726
2023-01-05,P00044,85,0,2,83,0,1831.42,152007.86000000002,3662.84,83,-726
2023-01-05,P00045,49,0,0,49,0,800.05,39202.45,0.0,49,-723
2023-01-05,P00046,91,0,0,91,0,909.14,82731.74,0.0,91,-725
2023-01-05,P00047,77,0,0,77,0,3883.7,299044.9,0.0,77,-726
2023-01-05,P00048,72,0,0,72,0,905.52,65197.44,0.0,72,-725
2023-01-05,P00049,57,0,0,57,0,3776.8,215277.6,0.0,57,-723
2023-01-05,P00050,87,0,0,87,0,878.02,76387.74,0.0,87,-726
2023-01-06,P00001,54,0,0,54,0,3440.14,185767.56,0.0,54,-721
2023-01-06,P00002,46,0,0,46,0,1259.97,57958.62,0.0,46,-722
2023-01-06,P00003,70,0,2,68,0,912.38,62041.84,1824.76,68,-725
2023-01-06,P00004,81,0,0,81,0,811.12,65700.72,0.0,81,-725
2023-01-06,P00005,92,0,0,92,0,502.64,46242.88,0.0,92,-716
2023-01-06,P00006,51,0,0,51,0,405.25,20667.75,0.0,51,-725
2023-01-06,P00007,70,0,0,70,0,1830.66,128146.2,0.0,70,-725
2023-01-06,P00008,46,0,0,46,0,3018.56,138853.76,0.0,46,-725
2023-01-06,P00009,82,0,0,82,0,1667.07,136699.74,0.0,82,-715
2023-01-06,P00010,67,0,0,67,0,463.6,31061.2,0.0,67,-716
2023-01-06,P00011,59,0,2,57,0,2568.64,146412.47999999998,5137.28,57,-725
2023-01-06,P00012,87,0,2,85,0,2759.84,234586.4,5519.68,85,-714
2023-01-06,P00013,89,0,0,89,0,1591.13,141610.57,0.0,89,-722
2023-01-06,P00014,94,0,0,94,0,1558.0,146452.0,0.0,94,-720
2023-01-06,P00015,45,0,0,45,0,2016.06,90722.7,0.0,45,-701
2023-01-06,P00016,66,0,0,66,0,1216.09,80261.93999999999,0.0,66,-720
2023-01-06,P00017,89,0,0,89,0,2648.28,235696.92,0.0,89,-721
2023-01-06,P00018,67,0,0,67,0,1328.99,89042.33,0.0,67,-719
2023-01-06,P00019,81,0,0,81,0,322.92,26156.52,0.0,81,-719
2023-01-06,P00020,57,0,0,57,0,745.08,42469.560000000005,0.0,57,-725
2023-01-06,P00021,75,0,2,73,0,602.22,43962.060000000005,1204.44,73,-723
2023-01-06,P00022,87,0,0,87,0,758.73,66009.51,0.0,87,-710
2023-01-06,P00023,71,0,0,71,0,604.8,42940.8,0.0,71,-718
2023-01-06,P00024,70,0,0,70,0,338.12,23668.4,0.0,70,-722
2023-01-06,P00025,47,0,0,47,0,1739.53,81757.91,0.0,47,-723
2023-01-06,P00026,90,0,0,90,0,1112.72,100144.8,0.0,90,-718
2023-01-06,P00027,65,0,0,65,0,1197.77,77855.05,0.0,65,-723
2023-01-06,P00028,67,0,1,66,0,3625.16,239260.56,3625.16,66,-721
2023-01-06,P00029,90,0,1,89,0,1657.67,147532.63,1657.67,89,-724
2023-01-06,P00030,90,0,0,90,0,778.75,70087.5,0.0,90,-721
2023-01-06,P00031,53,0,0,53,0,471.55,24992.15,0.0,53,-723
2023-01-06,P00032,54,0,0,54,0,386.3,20860.2,0.0,54,-709
2023-01-06,P00033,58,0,2,56,0,818.19,45818.64,1636.38,56,-721
2023-01-06,P00034,98,0,1,97,0,2216.38,214988.86,2216.38,97,-717
2023-01-06,P00035,80,0,2,78,0,645.94,50383.32000000001,1291.88,78,-704
2023-01-06,P00036,55,0,2,53,0,990.96,52520.880000000005,1981.92,53,-721
2023-01-06,P00037,92,0,6,86,0,485.74,41773.64,2914.44,86,-719
2023-01-06,P00038,65,0,0,65,0,1418.42,92197.3,0.0,65,-725
2023-01-06,P00039,48,0,3,45,0,809.06,36407.7,2427.18,45,-722
2023-01-06,P00040,59,0,0,59,0,3241.22,191231.98,0.0,59,-722
2023-01-06,P00041,73,0,0,73,0,637.28,46521.44,0.0,73,-716
2023-01-06,P00042,48,0,1,47,0,1421.08,66790.76,1421.08,47,-709
2023-01-06,P00043,61,0,0,61,0,1502.72,91665.92,0.0,61,-725
2023-01-06,P00044,83,0,2,81,0,1831.42,148345.02000000002,3662.84,81,-725
2023-01-06,P00045,49,0,0,49,0,800.05,39202.45,0.0,49,-722
2023-01-06,P00046,91,0,0,91,0,909.14,82731.74,0.0,91,-724
2023-01-06,P00047,77,0,5,72,0,3883.7,279626.4,19418.5,72,-725
2023-01-06,P00048,72,0,2,70,0,905.52,63386.4,1811.04,70,-724
2023-01-06,P00049,57,0,0,57,0,3776.8,215277.6,0.0,57,-722
2023-01-06,P00050,87,0,1,86,0,878.02,75509.72,878.02,86,-725
2023-01-07,P00001,54,0,0,54,0,3440.14,185767.56,0.0,54,-720
2023-01-07,P00002,46,0,0,46,0,1259.97,57958.62,0.0,46,-721
2023-01-07,P00003,68,0,1,67,0,912.38,61129.46,912.38,67,-724
2023-01-07,P00004,81,0,0,81,0,811.12,65700.72,0.0,81,-724
2023-01-07,P00005,92,0,0,92,0,502.64,46242.88,0.0,92,-715
2023-01-07,P00006,51,0,0,51,0,405.25,20667.75,0.0,51,-724
2023-01-07,P00007,70,0,0,70,0,1830.66,128146.2,0.0,70,-724
2023-01-07,P00008,46,0,0,46,0,3018.56,138853.76,0.0,46,-724
2023-01-07,P00009,82,0,3,79,0,1667.07,131698.53,5001.21,79,-714
2023-01-07,P00010,67,0,2,65,0,463.6,30134.0,927.2,65,-715
2023-01-07,P00011,57,0,0,57,0,2568.64,146412.47999999998,0.0,57,-724
2023-01-07,P00012,85,0,0,85,0,2759.84,234586.4,0.0,85,-713
2023-01-07,P00013,89,0,1,88,0,1591.13,140019.44,1591.13,88,-721
2023-01-07,P00014,94,0,2,92,0,1558.0,143336.0,3116.0,92,-719
2023-01-07,P00015,45,0,0,45,0,2016.06,90722.7,0.0,45,-700
2023-01-07,P00016,66,0,2,64,0,1216.09,77829.76,2432.18,64,-719
2023-01-07,P00017,89,0,3,86,0,2648.28,227752.08,7944.84,86,-720
2023-01-07,P00018,67,0,0,67,0,1328.99,89042.33,0.0,67,-718
2023-01-07,P00019,81,0,0,81,0,322.92,26156.52,0.0,81,-718
2023-01-07,P00020,57,0,0,57,0,745.08,42469.560000000005,0.0,57,-724
2023-01-07,P00021,73,0,3,70,0,602.22,42155.4,1806.66,70,-722
2023-01-07,P00022,87,0,0,87,0,758.73,66009.51,0.0,87,-709
2023-01-07,P00023,71,0,0,71,0,604.8,42940.8,0.0,71,-717
2023-01-07,P00024,70,0,3,67,0,338.12,22654.04,1014.36,67,-721
2023-01-07,P00025,47,0,0,47,0,1739.53,81757.91,0.0,47,-722
2023-01-07,P00026,90,0,0,90,0,1112.72,100144.8,0.0,90,-717
2023-01-07,P00027,65,0,0,65,0,1197.77,77855.05,0.0,65,-722
2023-01-07,P00028,66,0,0,66,0,3625.16,239260.56,0.0,66,-720
2023-01-07,P00029,89,0,0,89,0,1657.67,147532.63,0.0,89,-723
2023-01-07,P00030,90,0,0,90,0,778.75,70087.5,0.0,90,-720
2023-01-07,P00031,53,0,3,50,0,471.55,23577.5,1414.65,50,-722
2023-01-07,P00032,54,0,0,54,0,386.3,20860.2,0.0,54,-708
2023-01-07,P00033,56,0,0,56,0,818.19,45818.64,0.0,56,-720
2023-01-07,P00034,97,0,0,97,0,2216.38,214988.86,0.0,97,-716
2023-01-07,P00035,78,0,0,78,0,645.94,50383.32000000001,0.0,78,-703
2023-01-07,P00036,53,0,2,51,0,990.96,50538.96,1981.92,51,-720
2023-01-07,P00037,86,0,1,85,0,485.74,41287.9,485.74,85,-718
2023-01-07,P00038,65,0,8,57,0,1418.42,80849.94,11347.36,57,-724
2023-01-07,P00039,45,0,1,44,0,809.06,35598.64,809.06,44,-721
2023-01-07,P00040,59,0,3,56,0,3241.22,181508.32,9723.66,56,-721
2023-01-07,P00041,73,0,0,73,0,637.28,46521.44,0.0,73,-715
2023-01-07,P00042,47,0,0,47,0,1421.08,66790.76,0.0,47,-708
2023-01-07,P00043,61,0,0,61,0,1502.72,91665.92,0.0,61,-724
2023-01-07,P00044,81,0,0,81,0,1831.42,148345.02000000002,0.0,81,-724
2023-01-07,P00045,49,0,1,48,0,800.05,38402.4,800.05,48,-721
