order_id,dispatch_date,delivery_date,carrier,delivery_cost,return_flag,delivery_time_days,sla_met,promise_days
ORD-10037,2023-01-04,2023-01-10,FedEx,6.98,0,6,0,5
ORD-10038,2023-01-02,2023-01-05,FedEx,11.63,0,3,1,5
ORD-10039,2023-01-02,2023-01-06,DHL,12.93,0,4,1,5
ORD-10040,2023-01-03,2023-01-08,UPS,8.96,0,5,1,5
ORD-10041,2023-01-02,2023-01-05,UPS,7.0,0,3,1,5
ORD-10042,2023-01-03,2023-01-07,FedEx,5.8,0,4,1,5
ORD-10043,2023-01-02,2023-01-07,DHL,5.9,0,5,1,5
ORD-10044,2023-01-02,2023-01-08,DHL,13.46,0,6,0,5
ORD-10045,2023-01-02,2023-01-07,UPS,6.59,0,5,1,5
ORD-10046,2023-01-03,2023-01-09,FedEx,11.87,0,6,0,5
ORD-10047,2023-01-02,2023-01-07,FedEx,11.68,0,5,1,5
ORD-10048,2023-01-04,2023-01-07,UPS,12.63,0,3,1,5
ORD-10049,2023-01-03,2023-01-06,DHL,8.18,0,3,1,5
ORD-10050,2023-01-03,2023-01-07,DHL,13.98,0,4,1,5
ORD-10051,2023-01-04,2023-01-09,FedEx,10.97,0,5,1,5
ORD-10052,2023-01-02,2023-01-06,DHL,9.88,0,4,1,5
ORD-10053,2023-01-04,2023-01-06,UPS,7.22,0,2,1,5
ORD-10054,2023-01-03,2023-01-06,UPS,8.69,0,3,1,5
ORD-10055,2023-01-05,2023-01-07,FedEx,11.11,0,2,1,5
ORD-10056,2023-01-03,2023-01-06,UPS,6.38,0,3,1,5
ORD-10057,2023-01-03,2023-01-06,UPS,8.02,0,3,1,5
ORD-10058,2023-01-04,2023-01-09,UPS,11.54,0,5,1,5
ORD-10059,2023-01-03,2023-01-07,DHL,8.11,1,4,1,5
ORD-10060,2023-01-04,2023-01-06,FedEx,7.61,0,2,1,5
ORD-10061,2023-01-03,2023-01-06,UPS,8.98,0,3,1,5
ORD-10062,2023-01-03,2023-01-08,UPS,13.06,0,5,1,5
ORD-10063,2023-01-05,2023-01-07,DHL,11.56,0,2,1,5
ORD-10064,2023-01-03,2023-01-06,UPS,8.19,0,3,1,5
ORD-10065,2023-01-05,2023-01-10,FedEx,11.86,0,5,1,5
ORD-10066,2023-01-04,2023-01-09,FedEx,9.22,0,5,1,5
ORD-10067,2023-01-04,2023-01-09,DHL,7.59,0,5,1,5
ORD-10068,2023-01-03,2023-01-09,FedEx,13.07,0,6,0,5
ORD-10069,2023-01-05,2023-01-09,DHL,12.81,0,4,1,5
ORD-10070,2023-01-04,2023-01-10,DHL,14.72,0,6,0,5
ORD-10071,2023-01-03,2023-01-08,UPS,10.32,0,5,1,5
ORD-10072,2023-01-05,2023-01-07,FedEx,6.5,0,2,1,5
ORD-10073,2023-01-05,2023-01-11,FedEx,7.58,0,6,0,5
ORD-10074,2023-01-05,2023-01-10,DHL,9.35,0,5,1,5
ORD-10075,2023-01-04,2023-01-06,UPS,6.22,0,2,1,5
ORD-10078,2023-01-03,2023-01-09,FedEx,11.86,0,6,0,5
ORD-10079,2023-01-04,2023-01-08,UPS,11.75,0,4,1,5
ORD-10080,2023-01-05,2023-01-09,FedEx,6.79,0,4,1,5
ORD-10081,2023-01-05,2023-01-07,FedEx,9.47,0,2,1,5
ORD-10082,2023-01-06,2023-01-08,UPS,10.96,0,2,1,5
ORD-10083,2023-01-06,2023-01-08,UPS,10.31,0,2,1,5
ORD-10084,2023-01-04,2023-01-07,DHL,5.84,0,3,1,5
ORD-10085,2023-01-04,2023-01-07,FedEx,11.33,0,3,1,5
ORD-10086,2023-01-05,2023-01-09,DHL,14.72,0,4,1,5
ORD-10087,2023-01-06,2023-01-09,DHL,14.19,0,3,1,5
ORD-10088,2023-01-06,2023-01-12,FedEx,9.58,0,6,0,5
ORD-10089,2023-01-05,2023-01-09,DHL,5.38,0,4,1,5
ORD-10090,2023-01-06,2023-01-08,UPS,8.82,0,2,1,5
ORD-10091,2023-01-04,2023-01-08,UPS,14.27,0,4,1,5
ORD-10092,2023-01-05,2023-01-10,UPS,9.01,0,5,1,5
ORD-10093,2023-01-06,2023-01-10,UPS,12.22,0,4,1,5
ORD-10094,2023-01-04,2023-01-09,FedEx,14.65,0,5,1,5
ORD-10095,2023-01-06,2023-01-10,UPS,14.95,0,4,1,5
ORD-10096,2023-01-06,2023-01-12,FedEx,13.54,0,6,0,5
ORD-10097,2023-01-06,2023-01-08,FedEx,8.74,0,2,1,5
ORD-10098,2023-01-04,2023-01-09,UPS,7.75,0,5,1,5
ORD-10099,2023-01-04,2023-01-08,FedEx,10.02,0,4,1,5
ORD-10100,2023-01-06,2023-01-11,DHL,14.1,0,5,1,5
ORD-10101,2023-01-05,2023-01-09,UPS,5.05,0,4,1,5
ORD-10102,2023-01-04,2023-01-09,DHL,11.57,0,5,1,5
ORD-10103,2023-01-05,2023-01-10,FedEx,10.99,0,5,1,5
ORD-10104,2023-01-05,2023-01-07,FedEx,7.21,0,2,1,5
ORD-10105,2023-01-06,2023-01-10,DHL,7.21,0,4,1,5
ORD-10106,2023-01-05,2023-01-11,UPS,13.27,0,6,0,5
ORD-10107,2023-01-05,2023-01-11,UPS,8.29,0,6,0,5
ORD-10108,2023-01-05,2023-01-11,FedEx,5.13,0,6,0,5
ORD-10109,2023-01-05,2023-01-09,UPS,13.23,0,4,1,5
ORD-10110,2023-01-05,2023-01-10,DHL,7.11,0,5,1,5
ORD-10111,2023-01-05,2023-01-10,UPS,7.56,0,5,1,5
ORD-10112,2023-01-07,2023-01-13,DHL,14.68,0,6,0,5
ORD-10113,2023-01-06,2023-01-12,DHL,14.85,0,6,0,5
ORD-10114,2023-01-05,2023-01-11,FedEx,8.69,0,6,0,5
ORD-10115,2023-01-06,2023-01-11,FedEx,11.75,0,5,1,5
ORD-10116,2023-01-05,2023-01-11,DHL,10.85,0,6,0,5
ORD-10117,2023-01-06,2023-01-12,DHL,9.32,0,6,0,5
ORD-10118,2023-01-06,2023-01-12,UPS,12.44,0,6,0,5
ORD-10119,2023-01-06,2023-01-12,FedEx,6.32,0,6,0,5
ORD-10120,2023-01-05,2023-01-07,UPS,8.96,0,2,1,5
ORD-10121,2023-01-05,2023-01-11,FedEx,7.89,0,6,0,5
ORD-10122,2023-01-07,2023-01-12,UPS,10.5,0,5,1,5
ORD-10123,2023-01-05,2023-01-10,FedEx,14.0,0,5,1,5
ORD-10124,2023-01-06,2023-01-10,FedEx,11.3,0,4,1,5
ORD-10125,2023-01-07,2023-01-11,UPS,10.02,0,4,1,5
ORD-10126,2023-01-07,2023-01-10,FedEx,13.59,0,3,1,5
ORD-10127,2023-01-07,2023-01-11,UPS,13.26,0,4,1,5
ORD-10128,2023-01-06,2023-01-09,UPS,9.0,0,3,1,5
ORD-10129,2023-01-08,2023-01-12,FedEx,12.63,0,4,1,5
ORD-10130,2023-01-06,2023-01-08,DHL,8.83,0,2,1,5
ORD-10131,2023-01-07,2023-01-12,FedEx,9.1,0,5,1,5
ORD-10132,2023-01-06,2023-01-12,FedEx,7.24,0,6,0,5
ORD-10133,2023-01-08,2023-01-14,DHL,14.99,0,6,0,5
ORD-10134,2023-01-08,2023-01-13,DHL,14.45,0,5,1,5
ORD-10135,2023-01-08,2023-01-11,FedEx,6.66,0,3,1,5
ORD-10136,2023-01-07,2023-01-09,FedEx,14.52,0,2,1,5
ORD-10137,2023-01-08,2023-01-14,DHL,13.84,0,6,0,5
ORD-10138,2023-01-07,2023-01-13,UPS,10.11,0,6,0,5
ORD-10139,2023-01-06,2023-01-11,FedEx,8.69,0,5,1,5
ORD-10140,2023-01-06,2023-01-11,DHL,14.37,0,5,1,5
ORD-10141,2023-01-07,2023-01-10,UPS,7.93,0,3,1,5
ORD-10142,2023-01-06,2023-01-12,DHL,9.61,0,6,0,5
ORD-10143,2023-01-08,2023-01-14,UPS,9.44,0,6,0,5
ORD-10144,2023-01-06,2023-01-11,DHL,10.0,0,5,1,5
ORD-10145,2023-01-09,2023-01-13,FedEx,13.72,0,4,1,5
ORD-10146,2023-01-07,2023-01-12,FedEx,12.22,0,5,1,5
ORD-10147,2023-01-07,2023-01-09,UPS,11.82,0,2,1,5
ORD-10148,2023-01-09,2023-01-14,FedEx,13.62,0,5,1,5
ORD-10149,2023-01-08,2023-01-12,FedEx,13.83,0,4,1,5
ORD-10150,2023-01-07,2023-01-13,DHL,11.47,0,6,0,5
ORD-10151,2023-01-09,2023-01-11,FedEx,9.39,0,2,1,5
ORD-10152,2023-01-07,2023-01-11,FedEx,13.12,0,4,1,5
ORD-10153,2023-01-07,2023-01-11,DHL,8.99,0,4,1,5
ORD-10154,2023-01-09,2023-01-14,UPS,9.29,0,5,1,5
ORD-10155,2023-01-07,2023-01-10,DHL,13.47,0,3,1,5
ORD-10156,2023-01-07,2023-01-10,FedEx,8.66,0,3,1,5
ORD-10157,2023-01-08,2023-01-11,DHL,14.13,0,3,1,5
ORD-10158,2023-01-07,2023-01-11,UPS,5.97,0,4,1,5
ORD-10159,2023-01-09,2023-01-11,DHL,9.58,0,2,1,5
ORD-10160,2023-01-08,2023-01-11,UPS,12.57,0,3,1,5
ORD-10161,2023-01-08,2023-01-13,UPS,8.31,0,5,1,5
ORD-10162,2023-01-09,2023-01-13,FedEx,10.68,0,4,1,5
ORD-10163,2023-01-07,2023-01-10,UPS,6.48,0,3,1,5
ORD-10164,2023-01-07,2023-01-10,UPS,13.8,0,3,1,5
ORD-10165,2023-01-09,2023-01-13,DHL,8.07,0,4,1,5
ORD-10166,2023-01-08,2023-01-14,DHL,11.34,0,6,0,5
ORD-10167,2023-01-10,2023-01-15,FedEx,11.73,0,5,1,5
ORD-10168,2023-01-10,2023-01-13,UPS,6.47,0,3,1,5
ORD-10169,2023-01-09,2023-01-13,UPS,11.37,0,4,1,5
ORD-10170,2023-01-08,2023-01-14,DHL,8.03,0,6,0,5
ORD-10171,2023-01-08,2023-01-12,FedEx,8.64,0,4,1,5
ORD-10172,2023-01-10,2023-01-16,UPS,9.06,0,6,0,5
ORD-10174,2023-01-09,2023-01-12,FedEx,10.87,0,3,1,5
ORD-10175,2023-01-09,2023-01-15,DHL,8.74,0,6,0,5
ORD-10176,2023-01-10,2023-01-13,DHL,13.71,0,3,1,5
ORD-10177,2023-01-08,2023-01-13,FedEx,13.97,1,5,1,5
ORD-10178,2023-01-10,2023-01-12,UPS,8.42,0,2,1,5
ORD-10179,2023-01-08,2023-01-11,FedEx,6.5,0,3,1,5
ORD-10180,2023-01-10,2023-01-12,FedEx,11.5,0,2,1,5
ORD-10181,2023-01-09,2023-01-14,FedEx,10.69,0,5,1,5
ORD-10182,2023-01-08,2023-01-14,UPS,13.98,0,6,0,5
ORD-10183,2023-01-08,2023-01-12,FedEx,11.64,0,4,1,5
ORD-10184,2023-01-10,2023-01-12,UPS,14.52,0,2,1,5
ORD-10185,2023-01-08,2023-01-12,FedEx,10.53,0,4,1,5
ORD-10186,2023-01-10,2023-01-16,UPS,13.73,0,6,0,5
ORD-10187,2023-01-09,2023-01-15,FedEx,10.23,0,6,0,5
ORD-10188,2023-01-09,2023-01-12,UPS,11.9,0,3,1,5
ORD-10189,2023-01-08,2023-01-11,DHL,11.9,0,3,1,5
ORD-10190,2023-01-08,2023-01-10,UPS,14.79,0,2,1,5
ORD-10191,2023-01-10,2023-01-14,DHL,5.91,0,4,1,5
ORD-10192,2023-01-10,2023-01-12,DHL,14.06,0,2,1,5
ORD-10193,2023-01-11,2023-01-15,DHL,5.61,0,4,1,5
ORD-10194,2023-01-09,2023-01-15,DHL,12.62,0,6,0,5
ORD-10195,2023-01-10,2023-01-12,DHL,10.37,0,2,1,5
ORD-10196,2023-01-10,2023-01-12,FedEx,6.96,0,2,1,5
ORD-10197,2023-01-10,2023-01-12,UPS,9.76,0,2,1,5
ORD-10198,2023-01-11,2023-01-17,UPS,7.15,0,6,0,5
ORD-10199,2023-01-10,2023-01-16,FedEx,5.1,0,6,0,5
ORD-10200,2023-01-09,2023-01-14,DHL,12.77,0,5,1,5
ORD-10202,2023-01-11,2023-01-17,UPS,12.56,0,6,0,5
ORD-10203,2023-01-10,2023-01-15,FedEx,11.01,0,5,1,5
ORD-10204,2023-01-11,2023-01-14,UPS,8.29,0,3,1,5
ORD-10205,2023-01-11,2023-01-15,UPS,14.51,0,4,1,5
ORD-10206,2023-01-10,2023-01-16,FedEx,7.49,0,6,0,5
ORD-10207,2023-01-11,2023-01-17,FedEx,10.03,0,6,0,5
ORD-10208,2023-01-10,2023-01-12,DHL,14.77,0,2,1,5
ORD-10209,2023-01-10,2023-01-12,DHL,8.19,0,2,1,5
ORD-10210,2023-01-10,2023-01-15,DHL,6.63,0,5,1,5
ORD-10211,2023-01-10,2023-01-14,UPS,5.95,0,4,1,5
ORD-10212,2023-01-10,2023-01-16,DHL,13.23,0,6,0,5
ORD-10213,2023-01-09,2023-01-12,FedEx,7.13,1,3,1,5
ORD-10214,2023-01-10,2023-01-14,UPS,12.66,0,4,1,5
ORD-10215,2023-01-09,2023-01-13,DHL,14.28,0,4,1,5
ORD-10216,2023-01-11,2023-01-14,UPS,8.24,0,3,1,5
ORD-10217,2023-01-10,2023-01-13,UPS,13.52,0,3,1,5
ORD-10218,2023-01-11,2023-01-14,UPS,8.26,0,3,1,5
ORD-10219,2023-01-11,2023-01-17,FedEx,12.89,0,6,0,5
ORD-10220,2023-01-11,2023-01-14,DHL,14.33,0,3,1,5
ORD-10221,2023-01-11,2023-01-15,FedEx,6.45,0,4,1,5
ORD-10222,2023-01-12,2023-01-16,DHL,13.29,0,4,1,5
ORD-10223,2023-01-11,2023-01-15,FedEx,9.25,0,4,1,5
ORD-10224,2023-01-11,2023-01-13,UPS,12.62,0,2,1,5
ORD-10225,2023-01-10,2023-01-15,DHL,8.54,0,5,1,5
ORD-10226,2023-01-11,2023-01-15,UPS,5.19,1,4,1,5
ORD-10227,2023-01-10,2023-01-13,FedEx,11.62,1,3,1,5
ORD-10228,2023-01-11,2023-01-15,DHL,5.24,0,4,1,5
ORD-10230,2023-01-11,2023-01-17,DHL,10.6,0,6,0,5
ORD-10231,2023-01-10,2023-01-16,FedEx,10.03,0,6,0,5
ORD-10232,2023-01-10,2023-01-12,UPS,7.43,0,2,1,5
ORD-10233,2023-01-12,2023-01-17,DHL,14.41,0,5,1,5
ORD-10234,2023-01-11,2023-01-13,UPS,12.81,0,2,1,5
ORD-10235,2023-01-12,2023-01-17,FedEx,7.5,0,5,1,5
ORD-10236,2023-01-13,2023-01-18,UPS,5.59,0,5,1,5
ORD-10237,2023-01-13,2023-01-17,DHL,7.76,0,4,1,5
ORD-10238,2023-01-12,2023-01-16,UPS,6.11,0,4,1,5
ORD-10239,2023-01-13,2023-01-15,UPS,8.25,0,2,1,5
ORD-10240,2023-01-12,2023-01-15,DHL,13.74,0,3,1,5
ORD-10241,2023-01-12,2023-01-18,DHL,7.0,1,6,0,5
ORD-10242,2023-01-12,2023-01-15,FedEx,8.28,0,3,1,5
ORD-10243,2023-01-13,2023-01-17,DHL,10.57,0,4,1,5
ORD-10244,2023-01-13,2023-01-15,UPS,6.4,1,2,1,5
ORD-10245,2023-01-13,2023-01-17,FedEx,14.57,0,4,1,5
ORD-10246,2023-01-12,2023-01-15,DHL,6.84,0,3,1,5
ORD-10247,2023-01-11,2023-01-16,DHL,8.62,0,5,1,5
ORD-10248,2023-01-13,2023-01-17,UPS,7.55,0,4,1,5
ORD-10249,2023-01-11,2023-01-14,FedEx,6.19,0,3,1,5
ORD-10250,2023-01-12,2023-01-17,DHL,13.06,0,5,1,5
ORD-10251,2023-01-13,2023-01-15,FedEx,14.13,0,2,1,5
ORD-10252,2023-01-12,2023-01-14,DHL,10.66,0,2,1,5
ORD-10253,2023-01-13,2023-01-17,DHL,12.9,0,4,1,5
ORD-10254,2023-01-12,2023-01-18,FedEx,8.34,0,6,0,5
ORD-10255,2023-01-13,2023-01-15,UPS,10.65,0,2,1,5
ORD-10256,2023-01-11,2023-01-17,DHL,6.58,0,6,0,5
ORD-10257,2023-01-11,2023-01-17,UPS,14.22,0,6,0,5
ORD-10258,2023-01-13,2023-01-16,DHL,12.52,0,3,1,5
ORD-10260,2023-01-12,2023-01-17,UPS,9.51,0,5,1,5
ORD-10262,2023-01-13,2023-01-17,DHL,5.73,0,4,1,5
ORD-10263,2023-01-13,2023-01-17,FedEx,9.54,0,4,1,5
ORD-10264,2023-01-13,2023-01-18,UPS,13.89,0,5,1,5
ORD-10265,2023-01-13,2023-01-17,UPS,5.06,0,4,1,5
ORD-10267,2023-01-11,2023-01-14,UPS,8.22,0,3,1,5
ORD-10268,2023-01-12,2023-01-15,UPS,10.84,0,3,1,5
ORD-10269,2023-01-13,2023-01-18,FedEx,11.54,0,5,1,5
ORD-10270,2023-01-14,2023-01-18,UPS,13.93,0,4,1,5
ORD-10271,2023-01-14,2023-01-17,DHL,6.89,0,3,1,5
ORD-10272,2023-01-12,2023-01-16,DHL,6.82,0,4,1,5
ORD-10273,2023-01-14,2023-01-20,UPS,14.44,0,6,0,5
ORD-10274,2023-01-12,2023-01-18,FedEx,8.49,0,6,0,5
ORD-10275,2023-01-13,2023-01-17,DHL,14.28,0,4,1,5
ORD-10276,2023-01-12,2023-01-15,FedEx,8.03,0,3,1,5
ORD-10277,2023-01-13,2023-01-16,FedEx,14.36,0,3,1,5
ORD-10278,2023-01-13,2023-01-15,FedEx,6.37,0,2,1,5
ORD-10279,2023-01-12,2023-01-17,FedEx,5.25,0,5,1,5
ORD-10280,2023-01-14,2023-01-17,FedEx,8.8,0,3,1,5
ORD-10281,2023-01-13,2023-01-18,FedEx,6.99,1,5,1,5
ORD-10282,2023-01-14,2023-01-16,DHL,5.93,0,2,1,5
ORD-10283,2023-01-14,2023-01-20,FedEx,12.25,0,6,0,5
ORD-10284,2023-01-12,2023-01-15,FedEx,6.2,1,3,1,5
ORD-10285,2023-01-14,2023-01-20,FedEx,8.58,0,6,0,5
ORD-10286,2023-01-13,2023-01-16,DHL,7.1,0,3,1,5
ORD-10287,2023-01-14,2023-01-18,DHL,9.78,0,4,1,5
ORD-10288,2023-01-12,2023-01-17,DHL,5.16,0,5,1,5
ORD-10289,2023-01-13,2023-01-18,DHL,14.62,0,5,1,5
ORD-10290,2023-01-14,2023-01-18,FedEx,14.46,0,4,1,5
ORD-10291,2023-01-14,2023-01-18,UPS,7.29,0,4,1,5
ORD-10292,2023-01-13,2023-01-18,FedEx,13.76,0,5,1,5
ORD-10293,2023-01-14,2023-01-18,FedEx,5.45,0,4,1,5
ORD-10294,2023-01-13,2023-01-19,DHL,5.09,0,6,0,5
ORD-10295,2023-01-13,2023-01-16,UPS,11.95,0,3,1,5
ORD-10296,2023-01-13,2023-01-19,DHL,13.02,0,6,0,5
ORD-10297,2023-01-15,2023-01-19,DHL,8.72,0,4,1,5
ORD-10298,2023-01-13,2023-01-18,FedEx,6.72,0,5,1,5
ORD-10299,2023-01-13,2023-01-16,UPS,8.65,0,3,1,5
ORD-10300,2023-01-13,2023-01-15,DHL,9.98,0,2,1,5
ORD-10301,2023-01-14,2023-01-18,DHL,14.09,0,4,1,5
ORD-10302,2023-01-15,2023-01-19,DHL,5.28,0,4,1,5
ORD-10303,2023-01-14,2023-01-16,DHL,13.89,0,2,1,5
ORD-10304,2023-01-15,2023-01-18,FedEx,14.14,0,3,1,5
ORD-10305,2023-01-15,2023-01-20,DHL,12.63,0,5,1,5
ORD-10306,2023-01-15,2023-01-18,DHL,6.58,0,3,1,5
ORD-10307,2023-01-14,2023-01-17,DHL,5.92,0,3,1,5
ORD-10308,2023-01-13,2023-01-18,FedEx,9.64,0,5,1,5
ORD-10309,2023-01-15,2023-01-20,DHL,6.34,0,5,1,5
ORD-10310,2023-01-15,2023-01-17,UPS,8.11,0,2,1,5
ORD-10311,2023-01-14,2023-01-17,DHL,8.23,0,3,1,5
ORD-10312,2023-01-14,2023-01-20,DHL,11.68,0,6,0,5
ORD-10313,2023-01-14,2023-01-19,UPS,12.49,0,5,1,5
ORD-10314,2023-01-13,2023-01-16,DHL,7.19,0,3,1,5
ORD-10315,2023-01-14,2023-01-17,UPS,11.59,0,3,1,5
ORD-10316,2023-01-14,2023-01-19,DHL,7.82,0,5,1,5
ORD-10317,2023-01-14,2023-01-17,FedEx,7.26,0,3,1,5
ORD-10318,2023-01-16,2023-01-20,FedEx,8.29,0,4,1,5
ORD-10319,2023-01-16,2023-01-22,FedEx,10.2,0,6,0,5
ORD-10320,2023-01-15,2023-01-18,FedEx,8.28,0,3,1,5
ORD-10321,2023-01-16,2023-01-19,FedEx,10.79,0,3,1,5
ORD-10322,2023-01-16,2023-01-21,FedEx,11.32,0,5,1,5
ORD-10323,2023-01-14,2023-01-16,DHL,6.43,0,2,1,5
ORD-10324,2023-01-14,2023-01-17,DHL,8.97,0,3,1,5
ORD-10326,2023-01-15,2023-01-20,DHL,13.58,0,5,1,5
ORD-10327,2023-01-16,2023-01-22,FedEx,9.06,0,6,0,5
ORD-10328,2023-01-15,2023-01-21,UPS,7.63,0,6,0,5
ORD-10329,2023-01-14,2023-01-18,DHL,11.55,0,4,1,5
ORD-10330,2023-01-15,2023-01-19,DHL,14.97,0,4,1,5
ORD-10332,2023-01-15,2023-01-20,UPS,12.72,0,5,1,5
ORD-10333,2023-01-16,2023-01-18,FedEx,11.68,0,2,1,5
ORD-10334,2023-01-16,2023-01-20,UPS,5.63,0,4,1,5
ORD-10335,2023-01-15,2023-01-17,FedEx,14.65,0,2,1,5
ORD-10336,2023-01-14,2023-01-17,DHL,14.75,0,3,1,5
ORD-10337,2023-01-14,2023-01-20,FedEx,12.13,0,6,0,5
ORD-10338,2023-01-15,2023-01-19,UPS,9.53,0,4,1,5
ORD-10339,2023-01-14,2023-01-20,FedEx,6.83,0,6,0,5
ORD-10341,2023-01-14,2023-01-17,UPS,12.76,0,3,1,5
ORD-10342,2023-01-16,2023-01-20,FedEx,10.26,0,4,1,5
ORD-10343,2023-01-17,2023-01-23,FedEx,10.25,0,6,0,5
ORD-10344,2023-01-16,2023-01-22,FedEx,7.3,0,6,0,5
ORD-10345,2023-01-15,2023-01-19,FedEx,6.59,0,4,1,5
ORD-10346,2023-01-15,2023-01-21,UPS,7.26,1,6,0,5
ORD-10347,2023-01-15,2023-01-21,UPS,14.42,0,6,0,5
ORD-10348,2023-01-16,2023-01-19,UPS,7.78,0,3,1,5
ORD-10349,2023-01-16,2023-01-21,DHL,14.01,0,5,1,5
ORD-10350,2023-01-16,2023-01-21,DHL,8.22,0,5,1,5
ORD-10351,2023-01-16,2023-01-18,DHL,5.75,1,2,1,5
ORD-10352,2023-01-17,2023-01-21,FedEx,7.09,0,4,1,5
ORD-10353,2023-01-17,2023-01-23,FedEx,14.59,0,6,0,5
ORD-10354,2023-01-16,2023-01-19,UPS,6.44,0,3,1,5
ORD-10355,2023-01-15,2023-01-20,UPS,12.86,0,5,1,5
ORD-10356,2023-01-16,2023-01-21,DHL,10.91,0,5,1,5
ORD-10357,2023-01-16,2023-01-18,DHL,7.26,0,2,1,5
ORD-10358,2023-01-15,2023-01-20,UPS,6.23,0,5,1,5
ORD-10359,2023-01-17,2023-01-20,DHL,7.06,0,3,1,5
ORD-10360,2023-01-17,2023-01-21,FedEx,12.61,0,4,1,5
ORD-10361,2023-01-17,2023-01-19,FedEx,10.21,0,2,1,5
ORD-10362,2023-01-15,2023-01-21,DHL,9.71,0,6,0,5
ORD-10363,2023-01-16,2023-01-20,DHL,13.22,0,4,1,5
ORD-10364,2023-01-17,2023-01-23,DHL,9.54,0,6,0,5
ORD-10365,2023-01-17,2023-01-21,DHL,13.75,0,4,1,5
ORD-10366,2023-01-16,2023-01-20,DHL,6.13,0,4,1,5
ORD-10367,2023-01-16,2023-01-22,UPS,6.68,0,6,0,5
ORD-10368,2023-01-17,2023-01-22,UPS,12.58,0,5,1,5
ORD-10369,2023-01-17,2023-01-19,UPS,5.89,0,2,1,5
ORD-10370,2023-01-17,2023-01-23,UPS,13.65,0,6,0,5
ORD-10371,2023-01-18,2023-01-23,DHL,13.37,0,5,1,5
ORD-10372,2023-01-17,2023-01-19,DHL,11.38,0,2,1,5
ORD-10373,2023-01-18,2023-01-22,DHL,14.05,0,4,1,5
ORD-10374,2023-01-18,2023-01-22,DHL,9.2,0,4,1,5
ORD-10375,2023-01-17,2023-01-19,UPS,5.13,0,2,1,5
ORD-10376,2023-01-17,2023-01-20,FedEx,10.86,1,3,1,5
ORD-10377,2023-01-18,2023-01-23,DHL,11.66,0,5,1,5
ORD-10378,2023-01-18,2023-01-23,UPS,10.61,0,5,1,5
ORD-10379,2023-01-17,2023-01-23,DHL,10.19,0,6,0,5
ORD-10380,2023-01-17,2023-01-19,UPS,11.02,0,2,1,5
ORD-10381,2023-01-18,2023-01-20,UPS,10.76,0,2,1,5
ORD-10382,2023-01-16,2023-01-20,FedEx,10.8,0,4,1,5
ORD-10383,2023-01-18,2023-01-23,DHL,13.15,0,5,1,5
